GKSL,WKL,GKSL_encoded,WKL_encoded
서비스 짐 맡기다 가능 ?,서비스를 위탁 수하물로 보낼 수 있나요?,"[2, 2724, 4383, 1980, 5561, 5782, 737, 633, 3]","[2, 2725, 3565, 2872, 7782, 6241, 6079, 2355, 5683, 2872, 3854, 5655, 6999, 258, 3]"
상처 받다 부탁,상처 받았다면 부탁해,"[2, 2679, 2220, 5782, 2458, 3]","[2, 2679, 2230, 6198, 2458, 7848, 3]"
생명 몸 사용 안되다 고장 ?,생체 인식이 안되나요?,"[2, 2712, 2084, 2613, 3135, 5886, 5782, 993, 7178, 633, 3]","[2, 2704, 7436, 3781, 7096, 3135, 5886, 5655, 6999, 258, 3]"
종이 이용 집 만들다,종이로 집을 만들다,"[2, 4197, 7096, 3726, 4384, 1940, 5782, 3]","[2, 4197, 7096, 6079, 4384, 7088, 1940, 5782, 3]"
저기 일 그만두다 물러나다 싫다,그 일은 그만두기 싫어,"[2, 3990, 5561, 3803, 1185, 6150, 5907, 5782, 2135, 6037, 5655, 5782, 517, 6744, 5782, 3]","[2, 1185, 3803, 7086, 1185, 6150, 5907, 5561, 3059, 3]"
아이 숨 힘들다,아이가 숨을 안 쉬어요.,"[2, 3121, 2919, 5213, 5782, 3]","[2, 3121, 5330, 2919, 7088, 3135, 2923, 6857, 54, 3]"
핸드폰 위치 필요 ?,휴대폰 위치를 알려드릴까요?,"[2, 517, 7861, 7736, 3563, 4919, 633, 3]","[2, 5194, 3563, 6116, 3169, 5920, 6135, 5591, 6999, 258, 3]"
답 없다,답이 없어,"[2, 1615, 3273, 3]","[2, 1615, 7096, 3278, 3]"
중 사이 전 저기 곳 저기,중간정류장 못가서 내려주세요.,"[2, 4257, 2618, 4012, 3990, 5561, 1021, 3990, 5561, 3]","[2, 4258, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
애 낳다 그렇다면 행복 고생 더 2배,애를 낳으면 행복과 고생은 두배이다,"[2, 3194, 1433, 5782, 1185, 6049, 5784, 5025, 993, 6542, 1698, 553, 6312, 3]","[2, 3194, 6116, 1433, 7083, 5025, 5468, 993, 6542, 7086, 1773, 6312, 7100, 3]"
텔레비전 연극 보다 슬프다,드라마를 봤더니 슬펐다,"[2, 517, 7622, 6050, 6441, 7207, 3339, 2368, 2948, 7753, 5782, 3]","[2, 1789, 6116, 2421, 5838, 2948, 0, 5782, 3]"
때 같다 아마,때가 올 것 같다,"[2, 1844, 831, 3093, 6141, 3]","[2, 1844, 5330, 3439, 905, 831, 3]"
돈 많다 하루 갚다 마음 열심 불마음 열심,그 많은 돈을 하루만에 갚는건 불성실해,"[2, 1730, 1951, 4937, 517, 5356, 5782, 1917, 3358, 6745, 2485, 6144, 3358, 6745, 3]","[2, 1185, 1955, 1731, 4937, 6150, 6896, 517, 5356, 5760, 5384, 2485, 6573, 6738, 7848, 3]"
물 저기 곳 다음 차내리다 ?,물 지나서 내려드릴까요?,"[2, 2135, 3990, 5561, 1021, 1577, 4402, 5678, 6122, 5782, 633, 3]","[2, 2135, 4303, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
공항 방문 농인 위하다 땅 그리다 드리다,공항을 이용하시는 농인들을 위한 지도를 제공하고 있습니다.,"[2, 1055, 2268, 1507, 7119, 3552, 7798, 1841, 1209, 5782, 517, 5924, 5782, 3]","[2, 1055, 7088, 3726, 7782, 6705, 5760, 1507, 7119, 5938, 3566, 4310, 6116, 4131, 3867, 54, 3]"
다시 쓰다 기쁘다,다시 쓰게 되어 정말 기쁘다,"[2, 1574, 3084, 5782, 1258, 6488, 5782, 3]","[2, 1574, 3084, 5400, 1767, 4102, 1258, 6488, 5782, 3]"
친구 사라지다 실종,친구를 잃어버렸습니다.,"[2, 4627, 2583, 5782, 3051, 3]","[2, 4627, 6116, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
원고 보내다 시간 저녁 9시 정도,투고시간은 오후 9시가 되겠습니다,"[2, 3533, 5439, 2363, 5782, 2962, 3991, 627, 6705, 4099, 3]","[2, 4762, 5439, 6706, 7086, 3434, 627, 6705, 5330, 1763, 5409, 3]"
화장실 가다 짐 빼다 부탁,화장실에 다녀올테니 잠깐 짐 좀 빼아주세요,"[2, 5118, 517, 5330, 5782, 4383, 2564, 5782, 2458, 3]","[2, 5118, 6896, 1563, 6973, 7618, 5770, 3945, 5595, 4383, 4196, 2564, 6797, 7282, 3]"
아버지 새벽 4 매일 일어나다,아버지는 매일 새벽 4시에 일어나신다,"[2, 3112, 2701, 605, 1996, 3813, 5782, 3]","[2, 3112, 5760, 1996, 2701, 605, 6705, 6896, 3813, 6733, 5782, 3]"
사람 동시에 일어나다,사람들이 동시에 일어났다,"[2, 2584, 1751, 3813, 5782, 3]","[2, 2586, 1751, 3803, 6855, 5672, 3]"
소화 불량,소화가 안되네요.,"[2, 2854, 2485, 6035, 3]","[2, 2854, 5330, 3135, 5886, 5703, 54, 3]"
너무 춥다 옷 두껍다 되다,너무 추워서 옷을 두껍게 되었다,"[2, 1458, 517, 7470, 5782, 3454, 1773, 5608, 5782, 1763, 5782, 3]","[2, 1458, 4541, 7018, 6553, 3454, 7088, 1773, 5608, 5400, 517, 5896, 3]"
홍수 불 물 채우다,홍수가 나서 불이 물에 잠기고 있어요.,"[2, 5108, 6629, 2485, 2135, 4451, 7005, 5782, 3]","[2, 5108, 6630, 1381, 2485, 7096, 2135, 6896, 3945, 5561, 5439, 3868, 6999, 54, 3]"
집 가다 피 흐르다 계시다 아니다,집에 와보니 피가 안 계셨다,"[2, 4384, 517, 5330, 5782, 4909, 5196, 6113, 5782, 980, 6705, 5782, 3100, 3]","[2, 4384, 6896, 517, 6983, 6370, 4909, 5330, 3135, 980, 6604, 5782, 3]"
구분 고장 잘 안되다 ?,구분이 안되나요?,"[2, 1115, 6416, 993, 7178, 3942, 3135, 5886, 5782, 633, 3]","[2, 1115, 6416, 7096, 3135, 5886, 5655, 6999, 258, 3]"
요즘 사람 얼굴 좋다,요즘 사람 얼굴이 좋아보인다,"[2, 3489, 2584, 3251, 4206, 3]","[2, 3489, 2584, 3251, 7096, 4207, 6364, 7119, 5782, 3]"
공중 내리다 ?,공중에서 내려드릴까요?,"[2, 1023, 7295, 1444, 5782, 633, 3]","[2, 1023, 7295, 6903, 1442, 5920, 6135, 5591, 6999, 258, 3]"
북 부 곳 저기 다음 곳 ?,북부정류장 지나서 내려드릴까요?,"[2, 2462, 2423, 1021, 3990, 5561, 1577, 1021, 633, 3]","[2, 517, 6414, 7227, 6107, 7178, 4303, 6553, 1442, 5920, 6135, 5591, 6999, 258, 3]"
한국 먹다 여기 ?,한정식집이 여기에 있습니까?,"[2, 4958, 2010, 5782, 3301, 633, 3]","[2, 4955, 7227, 6730, 7354, 7096, 3302, 3854, 6700, 258, 3]"
자연 기계 가능 ?,자동 결제 되나요?,"[2, 3916, 1260, 737, 633, 3]","[2, 3892, 947, 1763, 5655, 6999, 258, 3]"
언니 자신 너무 작다,언니는 자신이 유난히 작다,"[2, 3241, 5770, 3909, 1458, 3930, 5782, 3]","[2, 3241, 5770, 5760, 3914, 3574, 5663, 7996, 3930, 5782, 3]"
하나 다음 타다 ?,다음 역에서 타시나요?,"[2, 4928, 1577, 4698, 5782, 633, 3]","[2, 1577, 3322, 6903, 4698, 6705, 5655, 6999, 258, 3]"
이익 손해 안되다 ?,이해가 안되나요?,"[2, 3736, 2860, 7848, 3135, 5886, 5782, 633, 3]","[2, 3752, 5330, 3135, 5886, 5655, 6999, 258, 3]"
시간 어렵다 ?,시간이 어려우신가요?,"[2, 2962, 3232, 633, 3]","[2, 2964, 3220, 6060, 7005, 6733, 5330, 6999, 258, 3]"
돈 선택 잘못하다,선택을 잘못하였습니다.,"[2, 1730, 2767, 3943, 7798, 3]","[2, 2767, 7088, 3943, 7782, 6948, 54, 3]"
형 물건 필요 동생 시키다 물건 장소 보내다,형은 물건을 사오라고 동생을 서점에 보냈다,"[2, 5081, 2137, 4919, 1750, 517, 6722, 5782, 2137, 3962, 2363, 5782, 3]","[2, 5081, 7086, 2137, 7088, 2573, 6964, 6004, 1750, 7088, 2718, 7220, 6896, 2365, 3]"
기분 나쁘다 말하다 가지다 하지마,기분 나쁘게 말하지 마세요,"[2, 1282, 1370, 6488, 5782, 1958, 7798, 767, 5782, 4945, 6141, 3]","[2, 1282, 1370, 6488, 5400, 1958, 7819, 1907, 6586, 3]"
아빠 아들 데려가다 나중 가다,아빠는 아들을 나중에 데리고 갔다,"[2, 3114, 3107, 1706, 6060, 5330, 5782, 1370, 7295, 517, 5330, 5782, 3]","[2, 3114, 5760, 3107, 7088, 1398, 1706, 6122, 5439, 517, 5349, 3]"
밖 춥다 돌아보다 하지마 집 계시다,밖은 추우니 돌아보지 말고 집에 있어,"[2, 517, 6284, 517, 7470, 5782, 1734, 6371, 4945, 6141, 4384, 980, 6705, 5782, 3]","[2, 517, 6284, 7086, 4541, 7005, 5770, 1734, 6364, 7318, 1958, 5439, 4384, 6896, 3868, 3]"
싸움 시작 심심하다,싸움이 시작했는데 심심하다,"[2, 517, 6753, 2986, 3060, 6745, 7798, 3]","[2, 517, 6753, 7096, 2986, 7867, 3060, 6745, 7798, 3]"
딸 외국 보내다,딸을 외국에 보내다,"[2, 1840, 3471, 2363, 5782, 3]","[2, 1840, 7088, 3471, 6896, 2363, 5782, 3]"
새벽 되다 세상 노랗다 변하다,새벽이 되면 온 세상이 노랗다,"[2, 2701, 1763, 5782, 2811, 1476, 0, 5782, 2339, 7798, 3]","[2, 2701, 7096, 1766, 3437, 2811, 7096, 1476, 0, 5782, 3]"
보물 무엇 곳 ?,보물이 어디에 있나요?,"[2, 2355, 6241, 2095, 6884, 1021, 633, 3]","[2, 2355, 6241, 7096, 3223, 6896, 3854, 5655, 6999, 258, 3]"
영어 만들다 원하다,영어를 만들고 싶어,"[2, 3381, 1940, 5782, 3533, 7798, 3]","[2, 3381, 6116, 1941, 3073, 3]"
컴퓨터,컴퓨터를 매주세요.,"[2, 4660, 3]","[2, 4660, 6116, 1986, 7282, 54, 3]"
짐 무게 초과 할인 돈주다 어디 곳 ?,수하물 할인요금은 어디서 내나요?,"[2, 4383, 2096, 4502, 4981, 1730, 7276, 5782, 3223, 1021, 633, 3]","[2, 2872, 7782, 6241, 4981, 7000, 7086, 3223, 6553, 1434, 5655, 6999, 258, 3]"
공 크다 입다 불가능,공이 너무 커서 입을 수 없다,"[2, 1023, 4684, 3836, 5782, 2486, 3]","[2, 1023, 7096, 1458, 4652, 6553, 3836, 7088, 2872, 3273, 3]"
남자 사랑 궁금 물어보다,그의 사랑은 어떤지 물어보았다,"[2, 1423, 2590, 1169, 2143, 6371, 3]","[2, 1214, 2590, 7086, 3224, 7318, 2143, 6364, 6828, 3]"
몸 힘들다 시간 편하다,몸은 힘들지만 시간을 편하다,"[2, 2084, 5213, 5782, 2962, 4832, 7798, 3]","[2, 2084, 7086, 5213, 7330, 2963, 4832, 7798, 3]"
새벽 시작 해라,새벽부터 시작해라,"[2, 2701, 2986, 4998, 6003, 3]","[2, 2701, 6410, 2986, 7848, 6003, 3]"
길 가다 어렵다,길가기가 어렵다,"[2, 1315, 517, 5330, 5782, 3232, 3]","[2, 1315, 5330, 5562, 3232, 3]"
우회전 하다 ?,우회전 하으시죠?,"[2, 3498, 7953, 7207, 4932, 633, 3]","[2, 3498, 7953, 7207, 4924, 7074, 6705, 7275, 258, 3]"
생각 식꼿생각 식다생각 식,주의를 매주세요.,"[2, 2705, 3006, 0, 6542, 5336, 3006, 5782, 6542, 5336, 3006, 3]","[2, 4213, 7095, 6116, 1986, 7282, 54, 3]"
나 마음 불행,내 마음은 불행하다,"[2, 1370, 1917, 2485, 7881, 3]","[2, 1434, 1917, 7086, 2485, 7881, 7798, 3]"
부 자녀 독하다 키우다,우리 부는 자식들을 엄하게 키우셨다,"[2, 2423, 3891, 1725, 7798, 4695, 5782, 3]","[2, 3501, 2423, 5760, 3886, 6730, 5938, 3255, 7784, 4695, 6604, 5782, 3]"
미소 없다 잃어버리다 ?,미소를 잃어버리셨나요?,"[2, 2163, 3273, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 2163, 6116, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
서울 버스 곳 무엇 ?,서울 시내로 가는 버스 승강장은 무엇에 있습니까?,"[2, 2726, 2305, 1021, 2095, 6884, 633, 3]","[2, 2726, 2959, 5678, 6079, 736, 2305, 2949, 5350, 7186, 2095, 6884, 6896, 3854, 6700, 258, 3]"
지방 버스 어느 시간 곳 ?,시외버스 승강장은 언제에 있습니까?,"[2, 4316, 2305, 3222, 2962, 1021, 633, 3]","[2, 2959, 6995, 6326, 2949, 5350, 7186, 3245, 6896, 3854, 6700, 258, 3]"
하늘 치다 마음 편하다,하늘을 치면 마음이 편하다,"[2, 517, 7796, 4617, 5782, 1917, 4832, 7798, 3]","[2, 517, 7796, 7088, 4617, 6198, 1917, 7096, 4832, 7798, 3]"
여자 잔소리 때문에 기분 별로,여자가 잔소리해서 기분이 별로야,"[2, 3318, 3941, 6609, 1849, 1282, 517, 6357, 3]","[2, 3318, 5330, 3941, 6609, 7850, 1282, 7096, 517, 6357, 6844, 3]"
말하다 알려받다 ?,말하면 알려주시나요?,"[2, 1958, 7798, 3169, 6288, 5782, 633, 3]","[2, 1958, 7811, 3169, 7276, 6705, 5655, 6999, 258, 3]"
말하다 원하다,말하고 싶다,"[2, 1958, 7798, 3533, 7798, 3]","[2, 1958, 7788, 3072, 3]"
소원 등록 고장 잘 안되다 ?,지원이 안되나요?,"[2, 2822, 7020, 1818, 993, 7178, 3942, 3135, 5886, 5782, 633, 3]","[2, 4331, 7096, 3135, 5886, 5655, 6999, 258, 3]"
손 들다 가다 쏘다,꼼짝말고 손들어 가면 쏜다,"[2, 2860, 1801, 5782, 517, 5330, 5782, 517, 6770, 5782, 3]","[2, 517, 5618, 7363, 6160, 5439, 2860, 5934, 517, 5330, 6198, 517, 6772, 5782, 3]"
심판 전화걸다,심판을 부르세요.,"[2, 3068, 4064, 5390, 5782, 3]","[2, 3068, 7088, 2432, 6586, 54, 3]"
서울 가다 목적 지하철 번호 ?,서울로 가려면 몇 호선을 타야하나요?,"[2, 2726, 517, 5330, 5782, 2076, 4347, 517, 6330, 633, 3]","[2, 2726, 6079, 747, 6198, 2043, 5090, 6564, 4698, 6844, 7792, 6999, 258, 3]"
아이스크림 먹다 위하다 일본 가다,아이스크림을 먹기 위해 일본에 갔다,"[2, 3121, 6682, 6136, 2010, 5782, 3552, 7798, 3809, 517, 5330, 5782, 3]","[2, 3121, 6682, 6136, 7088, 2010, 5561, 3567, 3809, 6896, 517, 5349, 3]"
쉬다 -때 이야기 글 읽다 끝,쉬는 시간에 소설을 읽었어,"[2, 2923, 5782, 524, 5965, 3714, 1231, 3824, 5782, 1363, 3]","[2, 2923, 5760, 2962, 6896, 2835, 7088, 3824, 6885, 6855, 3]"
아프다 원인 관 입원,아파서 관에 입원했다,"[2, 3093, 7753, 5782, 3538, 1073, 3842, 3]","[2, 3093, 7682, 6553, 1073, 6896, 3842, 7869, 3]"
소리 고장 흐르다,소리가 새고 있는 것 같아요.,"[2, 2829, 993, 7178, 5196, 6113, 5782, 3]","[2, 2829, 5330, 2695, 5439, 3860, 905, 832, 6999, 54, 3]"
성격 다르다 불편,성격이 달라서 불편했다,"[2, 2782, 1566, 2499, 3]","[2, 2782, 7096, 1598, 6553, 2499, 7869, 3]"
항공 쉬다 서비스 곳 이것 곳 ?,항공사 라운지는 이곳에 있습니까?,"[2, 4993, 2923, 5782, 2724, 1021, 3650, 1021, 633, 3]","[2, 4993, 6493, 1875, 7010, 7327, 3651, 6896, 3854, 6700, 258, 3]"
꿈 곳곳 ?,꿈은 어디에 있나요?,"[2, 1356, 1021, 5451, 633, 3]","[2, 1356, 7086, 3223, 6896, 3854, 5655, 6999, 258, 3]"
돈 많다 하루 시간 흐르다 가능 불가능,그 많은 돈을 하루만에 보내는건 불가능해,"[2, 1730, 1951, 4937, 2962, 5196, 6113, 5782, 737, 2486, 3]","[2, 1185, 1955, 1731, 4937, 6150, 6896, 2363, 5760, 5384, 2486, 7848, 3]"
범위 저기 ?,범위 안으로 들어갈까요?,"[2, 2319, 3990, 5561, 633, 3]","[2, 2319, 3135, 7078, 1807, 5591, 6999, 258, 3]"
용기 나다 나 말해 약속,용기가 생기면 나한테 말해,"[2, 3494, 5561, 1370, 5782, 1370, 1965, 3213, 3]","[2, 3494, 5562, 2710, 6198, 1370, 7835, 1965, 3]"
아기 자유 빌리다 곳 ?,자유 대여소가 어디에 있습니까?,"[2, 3093, 5561, 3920, 2549, 6122, 5782, 1021, 633, 3]","[2, 3920, 1633, 6916, 6607, 5330, 3223, 6896, 3854, 6700, 258, 3]"
여자 누구 친하다 친구,그녀는 누구와 아주 친한 친구야,"[2, 3318, 1528, 4626, 7798, 4627, 3]","[2, 1190, 5760, 1528, 6983, 3128, 4626, 7828, 4627, 6844, 3]"
먹다 기침 베다,기침을 하다가 손가락을 칼에 베였어요.,"[2, 2010, 5782, 1258, 7491, 2333, 5782, 3]","[2, 1258, 7491, 7088, 4932, 5330, 2860, 5330, 6015, 7088, 4642, 6896, 2333, 6944, 6857, 54, 3]"
자동 문열다 자연 기계 싶다 신고 곳 ?,자동자동신고를 하려고 하는데 어디서 하나요?,"[2, 3892, 2120, 6940, 5782, 3916, 1260, 3072, 3012, 1021, 633, 3]","[2, 3892, 7147, 5872, 6733, 5439, 6116, 517, 7807, 4931, 3223, 6553, 4928, 6999, 258, 3]"
원하다 알려받다 ?,원하면 알려주시나요?,"[2, 3533, 7798, 3169, 6288, 5782, 633, 3]","[2, 3533, 7811, 3169, 7276, 6705, 5655, 6999, 258, 3]"
장사 불량 사용 불가능,장사가 안되네요.,"[2, 3954, 6493, 2485, 6035, 2613, 2486, 3]","[2, 3954, 6494, 3135, 5886, 5703, 54, 3]"
정신 사라지다 실종,정신을 잃어버렸습니다.,"[2, 4117, 2583, 5782, 3051, 3]","[2, 4117, 7088, 517, 7135, 6855, 6323, 6072, 6701, 54, 3]"
지하철 철로 기름 떨어지다,선로에 기름을 떨어뜨렸습니다.,"[2, 4347, 4473, 6079, 1258, 6117, 1859, 5782, 3]","[2, 2734, 6079, 6896, 1258, 6117, 7088, 1856, 6855, 5991, 6072, 6701, 54, 3]"
겨울 끝 눈 빨리 다가오다,겨울이 끝나면 눈이 온다,"[2, 930, 1363, 1535, 2563, 1562, 5330, 6964, 5782, 3]","[2, 930, 7096, 1365, 6198, 1535, 7096, 3437, 5782, 3]"
집 차 거리 1시간,집까지 차를 타면 1시간이다,"[2, 4384, 4402, 871, 529, 6706, 3]","[2, 4384, 5592, 4402, 6116, 4698, 6198, 529, 6706, 7100, 3]"
교통사고 집 물 채우다,교통사고가 나서 집이 물에 잠기고 있어요.,"[2, 1113, 4384, 2135, 4451, 7005, 5782, 3]","[2, 1113, 5330, 1381, 4384, 7096, 2135, 6896, 3945, 5561, 5439, 3868, 6999, 54, 3]"
보물 잃어버리다 실종,보물을 분실하였습니다.,"[2, 2355, 6241, 517, 7135, 6855, 6324, 5782, 3051, 3]","[2, 2355, 6242, 2468, 6738, 7782, 6948, 54, 3]"
사랑 계시다 누구,사랑에 누구 계셔,"[2, 2590, 980, 6705, 5782, 1528, 3]","[2, 2590, 6896, 1528, 980, 6601, 3]"
무릎 씨 상처,무릎 씨를 다친 것 같아요.,"[2, 2106, 3088, 2679, 3]","[2, 2106, 517, 6788, 1562, 7489, 905, 832, 6999, 54, 3]"
매일 하다,매일 하다,"[2, 1996, 4932, 3]","[2, 1996, 4932, 3]"
도 아직 ?,아직 도 안 했나요?,"[2, 517, 5859, 3129, 633, 3]","[2, 3129, 517, 5859, 3135, 5017, 5655, 6999, 258, 3]"
마이크 단말기터치 다시,마이크를 다시 대세요.,"[2, 1907, 7096, 7565, 1589, 7609, 7483, 1574, 3]","[2, 1907, 7096, 7565, 6116, 1574, 1633, 6586, 54, 3]"
핸드폰 없다 잃어버리다 ?,핸드폰을 분실하셨나요?,"[2, 517, 7861, 7736, 3273, 517, 7135, 6855, 6324, 5782, 633, 3]","[2, 517, 7861, 7736, 7088, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
어머니 없다 실종 ?,어머니를 잃어버리셨나요?,"[2, 3236, 3273, 3051, 633, 3]","[2, 3236, 6116, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
소화 고장 사용 불가능,소화가 안되네요.,"[2, 2854, 993, 7178, 2613, 2486, 3]","[2, 2854, 5330, 3135, 5886, 5703, 54, 3]"
방학 랑 심심하다,방학이 랑했는데 심심하다,"[2, 2267, 7821, 517, 6022, 3060, 6745, 7798, 3]","[2, 2267, 7821, 7096, 517, 6022, 7867, 3060, 6745, 7798, 3]"
코 아프다 ?,코가 아프세요?,"[2, 4665, 3093, 7753, 5782, 633, 3]","[2, 4665, 5330, 3093, 7753, 6586, 258, 3]"
도시 가운데 곳 다음 차내리다,시내정류장 지나서 내려주세요.,"[2, 1713, 757, 1021, 1577, 4402, 5678, 6122, 5782, 3]","[2, 2959, 5678, 7227, 6107, 7178, 4303, 6553, 1442, 7282, 54, 3]"
여자 아기 자다 얼굴 보다 행복 목소리,그녀는 잠든 아이의 얼굴을 보고 행복한 목소리를 지었다,"[2, 3318, 3093, 5561, 3886, 5782, 3251, 2368, 5025, 2073, 3]","[2, 1190, 5760, 3945, 5928, 3121, 7095, 3251, 7088, 2358, 5025, 7828, 2073, 6116, 4297, 6888, 3]"
공기 고장 흐르다,공기가 새고 있어요.,"[2, 1023, 5561, 993, 7178, 5196, 6113, 5782, 3]","[2, 1023, 5562, 2695, 5439, 3868, 6999, 54, 3]"
피 흐르다 보다 슬프다,피를 봤더니 슬펐다,"[2, 4909, 5196, 6113, 5782, 2368, 2948, 7753, 5782, 3]","[2, 4909, 6116, 2421, 5838, 2948, 0, 5782, 3]"
말 고장 사용 안되다,말이 안되네요.,"[2, 1958, 993, 7178, 2613, 3135, 5886, 5782, 3]","[2, 1963, 3135, 5886, 5703, 54, 3]"
쌀 이용 돈 만들다 먹다 끝,쌀로 돈을 만들어 먹었다,"[2, 517, 6756, 3726, 1730, 1940, 5782, 2010, 5782, 1363, 3]","[2, 517, 6756, 6079, 1731, 1943, 2010, 6888, 3]"
사거리 분리 ?,사거리에서 분리 해드릴까요?,"[2, 2573, 5382, 2473, 633, 3]","[2, 2573, 5382, 6903, 2473, 4998, 5920, 6135, 5591, 6999, 258, 3]"
보다 생각 답답하다,내 자신이 생각해서 한심했다,"[2, 2368, 2705, 1615, 5801, 7798, 3]","[2, 1434, 3914, 2709, 6553, 4955, 6745, 7869, 3]"
나 나 포기 불가능,난 나를 포기할 수 없어,"[2, 1370, 1370, 4857, 2486, 3]","[2, 1406, 1370, 6116, 4857, 7836, 2872, 3278, 3]"
나무 빽빽하다 다음,숲 지나서 내려주세요.,"[2, 517, 5660, 517, 6465, 6465, 7798, 1577, 3]","[2, 517, 6651, 4303, 6553, 1442, 7282, 54, 3]"
서울 곳 찾다 길 무엇 ?,서울로 가려면 어떻게 가나요?,"[2, 2726, 1021, 517, 7404, 5782, 1315, 2095, 6884, 633, 3]","[2, 2726, 6079, 747, 6198, 3225, 517, 5330, 5655, 6999, 258, 3]"
돈 많다 하루 벌다 가능 불가능,그 많은 돈을 하루만에 벌는건 불가능해,"[2, 1730, 1951, 4937, 2309, 5782, 737, 2486, 3]","[2, 1185, 1955, 1731, 4937, 6150, 6896, 2309, 5760, 5384, 2486, 7848, 3]"
언어 고장 사용 안되다,언어 인식이 안되네요.,"[2, 3241, 6855, 993, 7178, 2613, 3135, 5886, 5782, 3]","[2, 3241, 6855, 3781, 7096, 3135, 5886, 5703, 54, 3]"
모두 소원 쉽다 아니다,모든 소원이 쉽게 이루어지지 않는다,"[2, 2047, 2822, 7020, 517, 6657, 5782, 3100, 3]","[2, 2048, 2822, 7027, 2924, 3676, 6855, 7340, 3152, 3]"
약 여기 곳 ?,약국은 여기에 있습니까?,"[2, 3211, 3301, 1021, 633, 3]","[2, 3211, 5503, 7086, 3302, 3854, 6700, 258, 3]"
산 동물 만나다 기억,산에서 야생동물을 만났어요. 저를 기억할 것 같아요.,"[2, 2640, 1746, 1933, 5782, 1291, 3]","[2, 2640, 6903, 3206, 6542, 5872, 6242, 1931, 5671, 6857, 54, 3990, 6116, 1291, 7836, 905, 832, 6999, 54, 3]"
뿔,뿔났습니다.,"[2, 517, 6486, 3]","[2, 517, 6486, 5671, 6701, 54, 3]"
도착 나라 군 딱,제국군에 도착합니다.,"[2, 1723, 1376, 1165, 517, 5960, 3]","[2, 4128, 5503, 5512, 6896, 1723, 7843, 54, 3]"
북 부 전 곳 도착 차내리다,북부정류장 못가서 내려주세요.,"[2, 2462, 2423, 4012, 1021, 1723, 4402, 5678, 6122, 5782, 3]","[2, 517, 6414, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
서다 나타내다 ?,등장했나요?,"[2, 2718, 5782, 1402, 5782, 633, 3]","[2, 1828, 7864, 5655, 6999, 258, 3]"
배고프다 할 수 있다 힘 없다,배고파서 능력이 없다,"[2, 2287, 5439, 7753, 5782, 4977, 2872, 3862, 5211, 3273, 3]","[2, 2287, 5439, 7682, 6553, 1559, 7096, 3273, 3]"
남 지역 전 저기 곳,남부정류장 못가서 내려주세요.,"[2, 1409, 4329, 4012, 3990, 5561, 1021, 3]","[2, 1415, 7227, 6107, 7178, 2086, 5330, 6553, 1442, 7282, 54, 3]"
성적 나쁘다,성적은 나쁘다,"[2, 2795, 1370, 6488, 5782, 3]","[2, 2795, 7086, 1370, 6488, 5782, 3]"
집 얼마 얼마 빌리다 곳 어디 ?,주소 대여소가 어디에 있습니까?,"[2, 4384, 3252, 3252, 2549, 6122, 5782, 1021, 3223, 633, 3]","[2, 4213, 6607, 1633, 6916, 6607, 5330, 3223, 6896, 3854, 6700, 258, 3]"
반지 가다 원가다 돈 얼마,반지를 가고 싶은데 가격이 얼마나 되나요,"[2, 2207, 7318, 517, 5330, 5782, 3533, 5330, 5782, 1730, 3252, 3]","[2, 2207, 7329, 517, 5330, 5439, 3075, 5850, 730, 3253, 1763, 5655, 6999, 3]"
방해 안되다 죽다,방해가 안되네요.,"[2, 2267, 7848, 3135, 5886, 5782, 4244, 5782, 3]","[2, 2267, 7848, 5330, 3135, 5886, 5703, 54, 3]"
남자 친구 운전 방법 가르치다 주다,남자는 친구에게 운전을 가르쳤다,"[2, 1423, 4627, 3520, 2270, 749, 7483, 5782, 4213, 5782, 3]","[2, 1423, 5760, 4627, 6897, 3520, 7088, 749, 7445, 3]"
의미 실종 ?,의미를 잃어버리셨나요?,"[2, 3628, 3051, 633, 3]","[2, 3628, 6116, 517, 7135, 6855, 6324, 6604, 5655, 6999, 258, 3]"
목걸이 잃어버리다 실종 ?,목걸이를 분실하셨나요?,"[2, 2068, 5390, 7096, 517, 7135, 6855, 6324, 5782, 3051, 633, 3]","[2, 2068, 5390, 7096, 6116, 2468, 6738, 7782, 6604, 5655, 6999, 258, 3]"
미용 받다 중에,미용을 받고 있어,"[2, 2149, 7003, 2220, 5782, 4257, 6896, 3]","[2, 2149, 7003, 7088, 2222, 3868, 3]"
왼쪽 차두다,왼쪽으로 가주세요.,"[2, 3479, 4402, 5907, 5782, 3]","[2, 3479, 7078, 517, 5330, 7282, 54, 3]"
돈 가위질 만들다 잘못하다,편집을 잘못하였습니다.,"[2, 1730, 517, 5330, 7044, 7350, 1940, 5782, 3943, 7798, 3]","[2, 4836, 7088, 3943, 7782, 6948, 54, 3]"
