dataset,video_num,question_w_q_morph,question,gloss,spoken
NIA-2020,395.0,,False,도착 시간 알려받다,도착 시간 좀 알려주세요.
NIA-2020,1935.0,,False,돈,현금입니다.
NIA-2020,1465.0,,False,터널 다음 곳,터널 지나서 내려주세요.
NIA-2020,168.0,,True,버스 타다 곳곳,버스정류장이 어디에 있나요?
NIA-2020,398.0,,True,도착 곳 알려주다,목적지를 알려드릴까요?
NIA-2020,923.0,,False,한국농아인협회 가다,한국농아인협회로 가주세요.
NIA-2020,1910.0,,True,유턴 맞다,유턴 맞으시죠?
NIA-2020,1425.0,,True,이화여대 가다 목적 방법 무엇,이화여대쪽으로 가려면 어떻게 가나요?
NIA-2020,1675.0,,True,버스 곳 다음 차내리다,버스정류장 지나서 내려드릴까요?
KETI-Airport,,,True,병원  어디,의무실은 어디에 있습니까?
KETI-Emergency,,,False,누가 거리 곳 피 머리 흐르다,어떤 사람이 길거리에서 피를 많이 흘리고 있어요.
KETI-Daily,,,False,깨끗하다,깨끗하다
KETI-Airport,,,True,짐  무게  초과  추가  돈주다  곳  어디,수하물 추가요금은 어디서 내나요?
NIA-2020,942.0,,False,서울농아인협회 가다,서울농아인협회로 가주세요.
NIA-2020,1245.0,,False,택시 전 저기 곳 도착 차내리다,택시정류장 못가서 내려주세요.
KETI-Airport,,,True,항공  목욕  곳  어디,공항 내 샤워실은 어디에 있나요?
NIA-2020,1294.0,,False,이마트 곳 저기 다음 도착 내리다,이마트 지나서 내려주세요.
KETI-Emergency,,,False,가스 고장 흐르다,가스가 새고 있어요.
KETI-Emergency,,,False,누가 교통사고,어떤 사람이 교통사고를 당했어요.
KETI-Airport,,,True,가방  비행기  안  가지다  무게  한계  몇,기내 수하물의 무게 한도는 몇 Kg인가요?
NIA-2020,1692.0,,True,사거리 다음 내리다,사거리 지나서 내려드릴까요?
KETI-Daily,,,False,지금 시작 해라,지금부터 시작해라
NIA-2020,707.0,,True,샛길 저기,골목으로 들어갈까요?
KETI-Daily,,,False,물 너무 더럽다,물어 너무 더럽다
NIA-2020,483.0,,False,카드 교환하다,다른 카드를 주세요.
NIA-2020,1235.0,,False,택시 전 저기 도착 내리다,택시정류장 못가서 내려주세요.
KETI-Daily,,,False,반갑다,반갑다
NIA-2020,1801.0,,True,우산 잃어버리다,우산을 잃어버리셨나요?
NIA-2020,896.0,,False,에어컨 켜다,에어컨 좀 켜주세요.
NIA-2020,24.0,,True,그남자 맞다,이 분이죠?
NIA-2020,503.0,,False,차 유리 내리다,창문 좀 열겠습니다.
NIA-2020,175.0,,False,여기 있다,여기에 계세요.
NIA-2020,1007.0,,True,은행 길 무엇,은행은 어디에 있나요?
NIA-2020,1278.0,,False,백화점 곳 다음 보다 내리다,백화점 지나서 내려주세요.
NIA-2020,769.0,,False,건너다 차내리다 오케이,건너편에서 내려주세요.
KETI-Emergency,,,False,빨리 오다 부탁,빨리 와주세요.
NIA-2020,1936.0,,False,돈,현금입니다.
NIA-2020,700.0,,False,아파트 문 가다,아파트 단지 안으로 가주세요.
NIA-2020,1966.0,,False,반지 찾다 실종,반지를 분실하였습니다.
NIA-2020,1860.0,,False,우산 사라지다 실종,우산을 분실하였습니다.
NIA-2020,1105.0,,False,에어컨 불량 사용 안되다,에어컨이 안되네요.
KETI-Airport,,,True,소  돼지  키우다  검사  신고  곳,축산관계자 신고는 어디서 하나요?
KETI-Daily,,,False,믿다,믿다
NIA-2020,812.0,,True,버스 곳 맞다,버스정류장에서 내려드릴까요?
NIA-2020,1828.0,,True,우회전 맞다,우회전 맞으시죠?
NIA-2020,998.0,,True,엘리베이터 무엇 곳,엘리베이터는 어디에 있나요?
KETI-Daily,,,False,아기 돌보다 힘 없어지다,아기를 돌보면 힘이 빠지는 것 같다
NIA-2020,1708.0,,True,대로 다음 도착 차내리다,큰 길 지나서 내려드릴까요?
KETI-Daily,,,False,멀다 오다 벌써 가,먼 길을 왔는데 그렇게 빨리 가려고?
NIA-2020,935.0,,False,서울농아인협회 내리다,서울농아인협회로 가주세요.
NIA-2020,1374.0,,True,송파 지하철 가다 길 가다 방법,송파역으로 가려면 어떻게 가나요?
NIA-2020,787.0,,True,여기 내리다 맞다,여기서 내려드릴까요?
NIA-2020,1611.0,,True,신호등 다음 내리다,신호등 지나서 내려드릴까요?
NIA-2020,1292.0,,False,이마트 곳 저기 다음 차내리다,이마트 지나서 내려주세요.
NIA-2020,1598.0,,False,경찰 저기 곳 다음 도착 내리다,경찰서 지나서 내려주세요.
NIA-2020,415.0,,False,명동 가다,명동역으로 가주세요.
NIA-2020,1808.0,,True,우산 실종 잃어버리다,우산을 잃어버리셨나요?
NIA-2020,160.0,,True,힘들다,힘드세요?
KETI-Daily,,,False,우연 알다 오빠 만나다,아는 오빠를 우연히 만났어
KETI-Daily,,,False,모임 끝 친구 헤어지다 섭섭,모임이 끝나고 친구들과 헤어지고 섭섭하다
NIA-2020,862.0,,True,차 뒤 엉덩이 들어올리다,트렁크 좀 열어드릴까요?
NIA-2020,1932.0,,False,돈,현금입니다.
NIA-2020,1170.0,,False,공항 버스 전 곳 보다 도착 내리다,공항버스정류장 못가서 내려주세요.
NIA-2020,1133.0,,True,자판기 불량 죽다,자판기가 안되나요?
NIA-2020,413.0,,True,택시 카톡보내다,콜을 부를까요?
NIA-2020,788.0,,True,여기 내리다 맞다,여기서 내려드릴까요?
KETI-Airport,,,True,서울  버스  곳  어디,서울 시내로 가는 버스 승강장은 어디에 있습니까?
NIA-2020,1156.0,,True,카드 고장 사용 안되다,카드 인식이 안되나요?
NIA-2020,899.0,,False,에어컨 켜다,에어컨 좀 켜주세요.
KETI-Daily,,,False,너무 춥다 옷 두껍다 입다,너무 추워서 옷을 두껍게 입었다
KETI-Emergency,,,False,전기 기둥 줄 끊어지다,고압선이 끊어져 있어요.
KETI-Airport,,,True,한국  안  이륙  곳  어디,국내선 출국장이 어디에 있습니까?
KETI-Airport,,,True,캐리어  무게  곳  어디,캐리어 무게를 재는 곳은 어디인가요?
NIA-2020,1777.0,,True,가방 잃어버리다,가방을 분실하셨나요?
KETI-Emergency,,,False,밖 불 119 부르다 부탁,밖에 불이 났어요. 소방차를 불러주세요.
NIA-2020,506.0,,False,유리 올리다,창문 좀 닫겠습니다.
NIA-2020,1816.0,,True,지갑 실종 잃어버리다,지갑을 분실하셨나요?
NIA-2020,1982.0,,True,빨리 접근 되다,다와가나요?
NIA-2020,937.0,,False,서울농아인협회 차내리다,서울농아인협회로 가주세요.
KETI-Daily,,,True,돕다 필요,찾는걸 도와줄까
NIA-2020,1602.0,,False,편지 저기 곳 다음 내리다,우체국 지나서 내려주세요.
NIA-2020,801.0,,True,기차 곳 맞다,기차역에서 내려드릴까요?
NIA-2020,1253.0,,False,맥도날드 보다 다음 곳 차내리다,맥도날드 지나서 내려주세요.
KETI-Airport,,,True,스케이트  짐  맡기다  가능,스케이트를 위탁 수하물로 보낼 수 있나요?
NIA-2020,227.0,,False,우회전 차내리다,우회전하고 내려주세요.
NIA-2020,1084.0,,False,단말기터치 사용 잘 안되다,카드 인식이 안되네요.
KETI-Airport,,,True,주차  1번  곳,제1 주차장은 어디에 있습니까?
NIA-2020,1368.0,,True,송파 지하철 가다 원하다 방법 무엇,송파역으로 가려면 어떻게 가나요?
NIA-2020,1613.0,,False,힘들다,힘듭니다.
KETI-Daily,,,False,예전 일 때문에 기억 애매,오래전 일이라 좀처럼 기억나지 않는다
KETI-Daily,,,False,몸 병 아프다,몸이 아프다
NIA-2020,985.0,,True,청음회관 내리다,청음회관에서 내려드릴까요?
KETI-Airport,,,True,한국  항공  표  곳  어디,대한항공 카운터는 어디에 있습니까?
NIA-2020,1786.0,,True,아이 없다 잃어버리다,아이를 잃어버리셨나요?
NIA-2020,409.0,,True,지하철 철로 가방 떨어지다,선로에 가방을 떨어뜨리셨나요?
NIA-2020,1662.0,,True,샛길 다음 내리다,골목길 지나서 내려드릴까요?
KETI-Daily,,,False,언니 발 너무 작다,언니는 발이 유난히 작다
KETI-Daily,,,False,나 믿다,오빠만 믿어
NIA-2020,1629.0,,True,터널 다음 도착 차내리다,터널 지나서 내려드릴까요?
NIA-2020,1325.0,,False,파리바게트 다음 저기 곳 도착 차내리다,파리바게트 지나서 내려주세요.
NIA-2020,854.0,,False,차 뒤 트렁크열다,트렁크 좀 열어주세요.
NIA-2020,313.0,,False,은행 번호 받다,계좌번호 알려주세요
KETI-Daily,,,False,감독 맡다,감독을 맡다
KETI-Daily,,,False,더럽다 빨리 씻다,더러우니까 빨리 씻어
KETI-Airport,,,True,와이파이2  빌리다  곳  어디,와이파이를 어디에서 빌릴 수 있습니까?
NIA-2020,641.0,,True,손바닥찍다 내리다 가다,이 주소로 갈까요?
KETI-Daily,,,False,점수 나쁘다 우울하다,성적이 나빠서 우울하다
KETI-Airport,,,True,여행  정보  묻다  어디,관광안내소는 어디에 있습니까?
NIA-2020,182.0,,True,도움받다 가능,도와주실 수 있으세요?
KETI-Daily,,,False,우리 2 만나다 대화 부탁,우리 만나서 이야기 합시다
KETI-Daily,,,False,너무 덥다,너무 더워
NIA-2020,252.0,,True,다음 몇분,다음 역까지 몇 분 걸리나요?
KETI-Daily,,,False,어제 몸 아프다 오늘 괜찮다,어제 아팠는데 지금은 괜찮아
NIA-2020,790.0,,True,여기 차내리다 맞다,여기서 내려드릴까요?
KETI-Daily,,,False,몸 아프다 병원 가다 오다,아파서 병원에 다녀왔어
KETI-Daily,,,False,너 오다 그렇다면 감사,네가 와주면 고맙겠구나
KETI-Daily,,,False,너무 반갑다 울다,너무 반가워서 눈물이 났다
NIA-2020,1952.0,,False,사진기 잃어버리다 실종,카메라를 분실하였습니다.
NIA-2020,1286.0,,False,백화점 곳 다음 보다 도착 내리다,백화점 지나서 내려주세요.
KETI-Airport,,,True,핸드폰  충전  어디  곳,휴대폰을 충전할 수 있는 곳이 어디입니까?
NIA-2020,1848.0,,True,좌회전 확인 맞다,좌회전 맞으시죠?
NIA-2020,1645.0,,True,군청 곳 다음 곳,주민센터 지나서 내려드릴까요?
KETI-Airport,,,True,차  맡기다  곳  어디,주차대행한 차는 어디에서 찾습니까?
NIA-2020,580.0,,False,나사렛 가다,나사렛대학교로 가주세요.
NIA-2020,1532.0,,False,사거리 다음 내리다,사거리 지나서 내려주세요.
NIA-2020,1940.0,,False,돈,현금입니다.
KETI-Emergency,,,False,낯선 밖다 걷다,밖에 모르는 사람이 서성거려요.
NIA-2020,380.0,,False,도착 시간 딱,제시간에 도착합니다.
NIA-2020,537.0,,True,차 유리 내리다,창문을 열어드릴까요?
KETI-Daily,,,False,빨리 시작,빨리 시작하자
NIA-2020,1811.0,,True,지갑 실종,지갑을 분실하셨나요?
NIA-2020,401.0,,False,내리다 시간 알려받다,내릴 때 알려주세요.
KETI-Airport,,,True,물건  검사  두다  어디,코인로커가 어디에 있습니까?
NIA-2020,98.0,,True,지하철오다 아직,열차가 아직 안 들어오나요?
NIA-2020,1818.0,,True,카드 없다 잃어버리다,카드를 분실하셨나요?
NIA-2020,1586.0,,False,은행 저기 곳 다음,은행 지나서 내려주세요.
KETI-Daily,,,True,바쁘다,바빠?
NIA-2020,1565.0,,False,보건소 곳 다음,보건소 지나서 내려주세요.
KETI-Emergency,,,False,아프다 참다 불가능,아파서 못 참을것 같아요.
NIA-2020,1132.0,,True,자판기 사용 불가능,자판기가 안되나요?
NIA-2020,1889.0,,False,안경 찾다 실종,안경을 잃어버렸습니다.
NIA-2020,522.0,,False,학교 안 가다,학교로 들어가주세요.
NIA-2020,370.0,,False,도착 10분,10분 뒤에 도착합니다.
NIA-2020,209.0,,False,빨리,빨리 가주세요.
KETI-Airport,,,True,서울  버스  어디  곳,서울 시내로 가는 버스 승강장은 어디에 있습니까?
NIA-2020,1118.0,,True,물품보관 고장,물품보관함이 안되나요?
NIA-2020,1111.0,,False,난방 잘 안되다 사용 불가능,히터가 안되네요.
KETI-Airport,,,True,편의점  어디  곳,편의점은 어디에 있습니까?
NIA-2020,406.0,,False,택시 문자보내다 맞다,제가 콜택시를 불렀습니다.
NIA-2020,1134.0,,True,자판기 고장 죽다,자판기가 안되나요?
NIA-2020,1581.0,,False,은행 다음 여기,은행 지나서 내려주세요.
NIA-2020,643.0,,True,손바닥찍다 차내리다 가다,이 주소로 갈까요?
NIA-2020,683.0,,False,샛길 저기 가다,골목으로 들어가주세요.
NIA-2020,1333.0,,True,3 곳 길 방법,3번 출구로 나가려면 어떻게 가나요?
NIA-2020,868.0,,True,한국농아인협회 오케이,한국농아인협회에서 내려드릴까요?
KETI-Daily,,,False,예전 일 모두 기억,오래전의 일을 기억하다
NIA-2020,625.0,,False,지름길 도착 가다,지름길로 가주세요.
KETI-Daily,,,False,돕다,돕다
NIA-2020,837.0,,True,시청 오케이,시청에서 내려드릴까요?
NIA-2020,448.0,,False,신호등 다음 곳,신호등 지나서 내려주세요.
NIA-2020,1280.0,,False,백화점 곳 다음 보다 차내리다,백화점 지나서 내려주세요.
NIA-2020,1308.0,,False,우산 없다 잃어버리다,우산을 잃어버렸습니다.
KETI-Daily,,,False,춥다 때문에 따뜻하다 입다 약속,날이 추우니 따뜻하게 입어
NIA-2020,191.0,,False,충분하다,만족합니다.
NIA-2020,261.0,,False,계산 틀리다,금액이 맞지않습니다.
NIA-2020,1115.0,,False,엘리베이터 안되다 사용 불가능,엘리베이터가 안되네요.
NIA-2020,1876.0,,False,가방 실종 잃어버리다,가방을 잃어버렸습니다.
KETI-Daily,,,False,너무 기쁘다 눈물 흘리다,너무 기뻐서 눈물이 흘렀다
NIA-2020,529.0,,False,영수증,영수증을 주세요.
KETI-Daily,,,False,여자 매력 또 귀엽다,그녀는 아주 매력적이면서 귀엽다
KETI-Daily,,,False,쌀 이용 떡 만들다 먹다 끝,쌀로 떡을 만들어 먹었다
NIA-2020,1878.0,,False,아이 없다 잃어버리다,아이를 잃어버렸습니다.
KETI-Airport,,,False,만나다  반갑다,만나서 반갑습니다.
NIA-2020,598.0,,False,손바닥찍다 목적,이 주소로 가주세요.
NIA-2020,855.0,,False,차 엉덩이 트렁크열다,트렁크 좀 열어주세요.
NIA-2020,1615.0,,True,신호등 다음 곳,신호등 지나서 내려드릴까요?
KETI-Daily,,,False,너 위하다 준비 끝,너를 위해 준비했어
NIA-2020,1459.0,,True,종로 곳 가다 길 무엇,종로로 가려면 어떻게 가나요?
KETI-Emergency,,,False,저 방 갇히다,내가 방에 갇혔어요.
KETI-Daily,,,False,기다리다,기다리다
NIA-2020,1471.0,,False,지하철 곳 다음 내리다,지하철역 지나서 내려주세요.
NIA-2020,705.0,,True,학교 안 도착,학교 안으로 들어갈까요?
NIA-2020,1706.0,,True,대로 다음 도착 내리다,큰 길 지나서 내려드릴까요?
NIA-2020,246.0,,False,지하철 곳 9호,9호선 타는 곳입니다.
KETI-Daily,,,False,친구 감기 전염 같다,친구한테 감기 옮은 것 같다
KETI-Daily,,,False,춥다,춥다
NIA-2020,89.0,,False,도착 곳 명동 지하철,목적지는 명동역입니다.
NIA-2020,1640.0,,True,지하철 곳 다음 여기,지하철역 지나서 내려드릴까요?
NIA-2020,1036.0,,True,회의실 곳 무엇,회의실은 어디에 있나요?
KETI-Airport,,,False,확인  중,확인 중입니다.
NIA-2020,626.0,,False,지름길 목적 가다,지름길로 가주세요.
NIA-2020,581.0,,False,응급실 가다,응급실로 가주세요.
NIA-2020,557.0,,True,우회전 확인 맞다,우회전 해드릴까요?
KETI-Airport,,,True,항공  가다  검사  곳  어디,탑승수속은 어디에서 하나요?
NIA-2020,566.0,,True,유턴 맞다,유턴 해드릴까요?
NIA-2020,1669.0,,True,샛길 저기 다음 도착 차내리다,골목길 지나서 내려드릴까요?
KETI-Daily,,,False,쉬다,쉬다
NIA-2020,29.0,,False,항상,늘 그렇습니다.
NIA-2020,1158.0,,True,에어컨 사용 불가능 고장,에어컨이 안되나요?
NIA-2020,1854.0,,False,좌회전 확인 맞다,좌회전이 맞습니다.
KETI-Daily,,,False,작다,작다
NIA-2020,1458.0,,True,종로 목적 가다 길 방법,종로로 가려면 어떻게 가나요?
KETI-Airport,,,True,자동  문열다  출입  싶다  신고  곳  어디,자동출입신고를 하려고 하는데 어디서 하나요?
NIA-2020,1753.0,,True,경찰 저기 곳 다음 내리다,경찰서 지나서 내려드릴까요?
NIA-2020,1293.0,,False,이마트 곳 저기 다음,이마트 지나서 내려주세요.
KETI-Airport,,,False,궁금  있다  묻다  부탁,궁금하신 내용을 수어로 물어봐 주세요.
KETI-Airport,,,True,커피  곳  어디,커피숍은 어디에 있습니까?
NIA-2020,1396.0,,True,여의도 방법 무엇,여의도로 가려면 어떻게 가나요?
KETI-Daily,,,False,배고프다,배고프다
KETI-Daily,,,False,너 나 피 귀잡다 같다,너랑 나는 혈액형이 똑같다
NIA-2020,1647.0,,True,군청 곳 다음 도착 내리다,주민센터 지나서 내려드릴까요?
NIA-2020,1211.0,,False,스타벅스 곳 저기 전 차내리다,스타벅스 못가서 내려주세요.
KETI-Airport,,,True,주차  2번  곳  어디,제2 주차장은 어디에 있습니까?
KETI-Airport,,,False,모르다,모르겠습니다.
NIA-2020,1450.0,,True,종로 곳 가다 무엇 방법,종로로 가려면 어떻게 가나요?
NIA-2020,25.0,,False,말하다 잘못,제가 잘못 알려드렸습니다.
KETI-Daily,,,False,내일 괜찮다 아마,내일이면 괜찮겠지
NIA-2020,526.0,,False,영수증,영수증을 주세요.
KETI-Daily,,,False,여자 남편 없다 혼자 자녀 3 키우다,그녀는 남편없이 혼자 세 자녀를 키워냈다
NIA-2020,1426.0,,True,이화여대 찾다 목적 방법 무엇,이화여대쪽으로 가려면 어떻게 가나요?
NIA-2020,592.0,,False,손바닥찍다 가다,이 주소로 가주세요.
NIA-2020,360.0,,False,갈아타다 곳 맞다,갈아타는 곳이 맞습니다.
NIA-2020,1757.0,,True,경찰 저기 곳 다음 도착 내리다,경찰서 지나서 내려드릴까요?
NIA-2020,1896.0,,False,핸드폰 없다 실종,휴대폰을 잃어버렸습니다.
NIA-2020,569.0,,True,카드 가능,카드 결제 되나요?
NIA-2020,1151.0,,True,카드 사용 불가능 안되다,카드 인식이 안되나요?
NIA-2020,1175.0,,False,열쇠 없다 잃어버리다,열쇠를 잃어버렸습니다.
NIA-2020,1939.0,,False,돈,현금입니다.
NIA-2020,1671.0,,True,버스 곳 다음 여기,버스정류장 지나서 내려드릴까요?
NIA-2020,1053.0,,False,물품보관 불량 죽다,물품보관함이 안되네요.
NIA-2020,257.0,,False,대략 40분,대략 40분입니다.
NIA-2020,1505.0,,False,샛길 다음 차내리다,골목 지나서 내려주세요.
NIA-2020,458.0,,True,화장실 곳곳,화장실이 어디에 있나요?
NIA-2020,497.0,,False,뒤 트렁크열다,트렁크 좀 열어주세요.
KETI-Airport,,,True,지방  버스  어디,시외버스 승강장은 어디에 있습니까?
NIA-2020,5.0,,False,여기,이것입니다.
NIA-2020,1403.0,,True,영등포 곳 찾다 방법 무엇,영등포로 가려면 어떻게 가나요?
NIA-2020,642.0,,True,손바닥찍다 내리다 가다,이 주소로 갈까요?
KETI-Daily,,,False,착하다 사람 화 더 무섭다,온순한 사람이 화를 내면 더 무섭다
KETI-Daily,,,False,시간 가능 -면 이틀 동안 시골 가다 살다 원하다,가능하면 이틀동안 시골에 가서 지내고 싶어
NIA-2020,197.0,,False,필요,필요합니다.
KETI-Daily,,,False,바쁘다,바쁘다
NIA-2020,297.0,,False,연착 확인증 필요,연착 지연 증명서 발급해주세요.
NIA-2020,1045.0,,False,아니다,아닙니다.
NIA-2020,1464.0,,False,터널 다음 차내리다,터널 지나서 내려주세요.
NIA-2020,392.0,,True,물건 잃어버리다 찾다 방법,"물건을 잃어버렸는데, 분실물은 어디서 찾나요?"
NIA-2020,1941.0,,True,카드 되다,카드도 되나요?
NIA-2020,1097.0,,False,에어컨 사용 안되다 고장,에어컨이 안되네요.
KETI-Daily,,,False,나 돈 때문에 걱정 -중,돈 때문에 걱정이 많아
KETI-Airport,,,True,다르다  나라  한국  안  이륙  곳  어디,국제선 출국장이 어디에 있습니까?
NIA-2020,681.0,,False,샛길 가다,골목으로 들어가주세요.
NIA-2020,735.0,,False,저기 내리다 맞다,저기서 내려주세요.
NIA-2020,1605.0,,False,편지 저기 곳 다음 차내리다,우체국 지나서 내려주세요.
NIA-2020,1207.0,,False,스타벅스 저기 곳 전 저기,스타벅스 못가서 내려주세요.
NIA-2020,1310.0,,False,파리바게트 다음 저기 내리다,파리바게트 지나서 내려주세요.
NIA-2020,981.0,,True,따뜻하다 끄다,히터를 꺼드릴까요?
NIA-2020,659.0,,True,공항 가다 내리다,김포공항으로 갈까요?
NIA-2020,180.0,,True,한달 누적사용 내역 보여주다,정기권 사용 내역을 보여드릴까요?
KETI-Daily,,,False,거짓말 싫다,거짓말이 싫어요
NIA-2020,91.0,,False,하나 다음 도착,목적지는 다음 역입니다.
KETI-Daily,,,False,나 집 놀다 와,우리집에 놀러와
NIA-2020,323.0,,True,물건 잃어버리다 보관 곳곳,"물건을 잃어버렸는데, 분실물은 어디서 찾나요?"
KETI-Daily,,,False,진짜 미안,진심으로 미안해
KETI-Airport,,,True,와이파이2  빌리다  곳,와이파이를 어디에서 빌릴 수 있습니까?
KETI-Emergency,,,False,낯선 뒤 쫓아오다,이상한 사람이 저를 쫓아와요
KETI-Emergency,,,False,나이 병원 예약 부탁,세브란스 병원 진료 예약을 해주세요.
KETI-Airport,,,True,한국  안  다르다  나라  이륙  곳,국제선 출국장이 어디에 있습니까?
NIA-2020,1874.0,,False,가방 사라지다 실종,가방을 잃어버렸습니다.
NIA-2020,293.0,,False,지하철 철로 핸드폰 떨어지다,선로에 휴대폰을 떨어뜨렸습니다.
NIA-2020,305.0,,False,교통카드 충전,교통카드 충전해주세요.
NIA-2020,939.0,,False,서울농아인협회 도착,서울농아인협회로 가주세요.
KETI-Airport,,,True,지문  네모  없다  방법,신분증이 없습니다. 어떻게 하나요?
KETI-Airport,,,True,핸드폰  충전  어디,휴대폰을 충전할 수 있는 곳이 어디입니까?
KETI-Daily,,,False,끝 무엇 하다,끝나면 뭐하지
KETI-Daily,,,False,기억,기억하고 있니
NIA-2020,384.0,,False,지하철 갈아타다 곳곳 도움받다,지하철 갈아타는 것 좀 도와주세요.
NIA-2020,1232.0,,False,택시 전 저기 차내리다,택시정류장 못가서 내려주세요.
NIA-2020,545.0,,True,올리다,창문을 닫아드릴까요?
NIA-2020,1178.0,,False,공항 버스 보다 곳 전 내리다,공항버스정류장 못가서 내려주세요.
NIA-2020,1709.0,,True,대로 다음 도착 차내리다,큰 길 지나서 내려드릴까요?
NIA-2020,1267.0,,False,열쇠 잃어버리다 실종,열쇠를 잃어버렸습니다.
KETI-Airport,,,True,주차  미리  돈주다  가능,주차요금을 정산할 수 있나요?
NIA-2020,555.0,,True,우회전 확인 맞다,우회전 해드릴까요?
NIA-2020,1741.0,,True,은행 다음 여기,은행 지나서 내려드릴까요?
KETI-Airport,,,True,강아지  비행기  안  가지다  가능,반려견을 기내에 데려갈 수 있나요?
KETI-Daily,,,False,미안 잊다 듣다 못하다,미안해요 잠시 깜박했나봐요
NIA-2020,959.0,,False,청음회관 도착,청음회관으로 가주세요.
NIA-2020,664.0,,True,지름길 차내리다 가다,지름길로 갈까요?
NIA-2020,1664.0,,True,샛길 다음 차내리다,골목길 지나서 내려드릴까요?
NIA-2020,126.0,X,True,도착,도착했나요?
NIA-2020,1812.0,,True,지갑 없다 실종,지갑을 분실하셨나요?
NIA-2020,495.0,,False,카드 단말기터치 다시 해보다,카드를 다시 대세요.
NIA-2020,955.0,,False,청음회관 내리다,청음회관으로 가주세요.
NIA-2020,876.0,,True,서울농아인협회 차내리다,서울농아인협회에서 내려드릴까요?
KETI-Airport,,,False,다시  수어  부탁,다시 한 번 수어를 해주시기 바랍니다.
KETI-Daily,,,False,남자 불편 어색,이상하게 유독 그가 불편하다
KETI-Daily,,,False,하나 물어보다,한가지만 더 물어보자
NIA-2020,239.0,,True,국립박물관 가다 목적 지하철 번호,국립박물관에 가려면 몇번 출구로 나가야 하나요?
NIA-2020,873.0,X,True,서울농아인협회,서울농아인협회에서 내려드릴까요?
NIA-2020,1274.0,,False,백화점 다음 곳 저기 도착 내리다,백화점 지나서 내려주세요.
NIA-2020,1924.0,,False,차밀리다 심하다,차가 막힙니다.
NIA-2020,516.0,,False,학교 가다,학교로 들어가주세요.
KETI-Airport,,,True,항공  지하철  어디,공항철도는 어디서 탈 수 있습니까?
NIA-2020,567.0,,True,카드,카드 결제 되나요?
NIA-2020,863.0,X,True,한국농아인협회,한국농아인협회에서 내려드릴까요?
KETI-Airport,,,True,휠체어  빌리다  곳  어디,휠체어 대여소가 어디에 있습니까?
NIA-2020,1331.0,,True,3 가다 원하다 곳 방법,3번 출구로 나가려면 어떻게 가나요?
NIA-2020,198.0,X,True,필요,필요하세요?
KETI-Airport,,,True,서울역,서울역에 어떻게 갈 수 있나요?
KETI-Daily,,,False,사람 혼자 살다 불가능,사람은 혼자서 살 수 없다
NIA-2020,1974.0,,False,노트북 찾다 실종,노트북을 잃어버렸습니다.
NIA-2020,898.0,,False,에어컨 켜다,에어컨 좀 켜주세요.
NIA-2020,1723.0,,True,보건소 곳 다음 차내리다,보건소 지나서 내려드릴까요?
NIA-2020,1672.0,,True,버스 곳 다음 내리다,버스정류장 지나서 내려드릴까요?
NIA-2020,1948.0,,True,영수증 필요,영수증 필요하세요?
NIA-2020,1513.0,,False,버스 곳 다음 내리다,버스정류장 지나서 내려주세요.
KETI-Airport,,,True,항공  쉬다  서비스  어디,항공사 라운지는 어디에 있습니까?
NIA-2020,1653.0,,True,병원 다음 내리다,병원 지나서 내려드릴까요?
KETI-Daily,,,False,기분 나쁘다 생각 가지다 하지마,기분 나쁘게 생각하지 마세요
NIA-2020,81.0,,False,여기 송파 지하철 맞다,여기는 송파역입니다.
NIA-2020,1169.0,,False,공항 버스 전 곳 보다 도착 내리다,공항버스정류장 못가서 내려주세요.
NIA-2020,1348.0,,True,서울대학교 찾다 목적 가다 방법,서울대학교 방향으로 가려면 어떻게 가나요?
KETI-Daily,,,False,맡다 일 완료 끝,맡은 역할을 거뜬히 해낸다
KETI-Emergency,,,False,물 강 빠르다 서다 넘어지다 ,급류에 친구가 휩쓸렸어요.
KETI-Airport,,,True,한국  안  다르다  나라  착륙  어디  곳,국제선 입국장이 어디에 있습니까?
NIA-2020,1130.0,,True,자판기 잘 안되다,자판기가 안되나요?
KETI-Daily,,,False,듣다,듣다
KETI-Airport,,,True,다르다  나라  한국  안  착륙  어디,국제선 입국장이 어디에 있습니까?
KETI-Daily,,,False,나 자유 돌아다니다 원하다,자유롭게 돌아다니고 싶다
KETI-Airport,,,True,차  빌리다  곳  어디,렌트카를 빌리는 곳은 어디에 있습니까?
NIA-2020,890.0,,True,서대문농아인복지관 내리다 오케이,서대문농아인복지관에서 내려드릴까요?
NIA-2020,1722.0,,True,보건소 곳 다음 내리다,보건소 지나서 내려드릴까요?
KETI-Emergency,,,False,집 불,집에 불이 났어요.
NIA-2020,809.0,,True,기차 곳 차내리다 맞다,기차역에서 내려드릴까요?
NIA-2020,1330.0,,True,3 목적 곳 방법,3번 출구로 나가려면 어떻게 가나요?
NIA-2020,482.0,,True,카드 또 다르다 없다,다른 카드 없으세요?
NIA-2020,869.0,,True,한국농아인협회 가다,한국농아인협회에서 내려드릴까요?
NIA-2020,1351.0,,True,서울대학교 가다 목적 길 가다 방법,서울대학교 방향으로 가려면 어떻게 가나요?
NIA-2020,248.0,,False,지하철 곳 8호,8호선 타는 곳입니다.
NIA-2020,1823.0,,True,카드 잃어버리다 실종,카드를 분실하셨나요?
KETI-Daily,,,False,음악 듣다 중에,음악을 듣고 있어
