,gloss,spoken,combined
667,유턴 맞다 ?,유턴 해드릴까요?,유턴 맞다 ?유턴 해드릴까요?
668,유턴 맞다 ?,유턴 해드릴까요?,유턴 맞다 ?유턴 해드릴까요?
669,유턴 맞다 ?,유턴 해드릴까요?,유턴 맞다 ?유턴 해드릴까요?
670,카드 ?,카드 결제 되나요?,카드 ?카드 결제 되나요?
671,카드 되다 ?,카드 결제 되나요?,카드 되다 ?카드 결제 되나요?
672,카드 가능 ?,카드 결제 되나요?,카드 가능 ?카드 결제 되나요?
673,카드 ?,카드 결제 되나요?,카드 ?카드 결제 되나요?
674,나사렛 가다,나사렛대학교로 가주세요.,나사렛 가다나사렛대학교로 가주세요.
675,나사렛 가다,나사렛대학교로 가주세요.,나사렛 가다나사렛대학교로 가주세요.
676,나사렛 내리다,나사렛대학교로 가주세요.,나사렛 내리다나사렛대학교로 가주세요.
677,나사렛 내리다,나사렛대학교로 가주세요.,나사렛 내리다나사렛대학교로 가주세요.
678,나사렛 차내리다,나사렛대학교로 가주세요.,나사렛 차내리다나사렛대학교로 가주세요.
679,나사렛 차내리다,나사렛대학교로 가주세요.,나사렛 차내리다나사렛대학교로 가주세요.
680,나사렛 도착,나사렛대학교로 가주세요.,나사렛 도착나사렛대학교로 가주세요.
681,나사렛 목적,나사렛대학교로 가주세요.,나사렛 목적나사렛대학교로 가주세요.
682,나사렛 곳,나사렛대학교로 가주세요.,나사렛 곳나사렛대학교로 가주세요.
683,나사렛 가다,나사렛대학교로 가주세요.,나사렛 가다나사렛대학교로 가주세요.
684,응급실 가다,응급실로 가주세요.,응급실 가다응급실로 가주세요.
685,응급실 가다,응급실로 가주세요.,응급실 가다응급실로 가주세요.
686,응급실 내리다,응급실로 가주세요.,응급실 내리다응급실로 가주세요.
687,응급실 내리다,응급실로 가주세요.,응급실 내리다응급실로 가주세요.
688,응급실 차내리다,응급실로 가주세요.,응급실 차내리다응급실로 가주세요.
689,응급실 차내리다,응급실로 가주세요.,응급실 차내리다응급실로 가주세요.
690,응급실 도착,응급실로 가주세요.,응급실 도착응급실로 가주세요.
691,응급실 목적,응급실로 가주세요.,응급실 목적응급실로 가주세요.
692,응급실 곳,응급실로 가주세요.,응급실 곳응급실로 가주세요.
693,응급실 가다,응급실로 가주세요.,응급실 가다응급실로 가주세요.
694,손바닥찍다 가다,이 주소로 가주세요.,손바닥찍다 가다이 주소로 가주세요.
695,손바닥찍다 가다,이 주소로 가주세요.,손바닥찍다 가다이 주소로 가주세요.
696,손바닥찍다 내리다,이 주소로 가주세요.,손바닥찍다 내리다이 주소로 가주세요.
697,손바닥찍다 내리다,이 주소로 가주세요.,손바닥찍다 내리다이 주소로 가주세요.
698,손바닥찍다 차내리다,이 주소로 가주세요.,손바닥찍다 차내리다이 주소로 가주세요.
699,손바닥찍다 차내리다,이 주소로 가주세요.,손바닥찍다 차내리다이 주소로 가주세요.
700,손바닥찍다 도착,이 주소로 가주세요.,손바닥찍다 도착이 주소로 가주세요.
701,손바닥찍다 목적,이 주소로 가주세요.,손바닥찍다 목적이 주소로 가주세요.
702,손바닥찍다 곳,이 주소로 가주세요.,손바닥찍다 곳이 주소로 가주세요.
703,손바닥찍다 가다,이 주소로 가주세요.,손바닥찍다 가다이 주소로 가주세요.
704,서울역 내리다 가다,서울역으로 가주세요.,서울역 내리다 가다서울역으로 가주세요.
705,서울역 내리다 가다,서울역으로 가주세요.,서울역 내리다 가다서울역으로 가주세요.
706,서울역 차내리다 가다,서울역으로 가주세요.,서울역 차내리다 가다서울역으로 가주세요.
707,서울역 차내리다 가다,서울역으로 가주세요.,서울역 차내리다 가다서울역으로 가주세요.
708,서울역 도착 가다,서울역으로 가주세요.,서울역 도착 가다서울역으로 가주세요.
709,서울역 목적 가다,서울역으로 가주세요.,서울역 목적 가다서울역으로 가주세요.
710,서울역 곳 가다,서울역으로 가주세요.,서울역 곳 가다서울역으로 가주세요.
711,서울역 가다 내리다,서울역으로 가주세요.,서울역 가다 내리다서울역으로 가주세요.
712,서울역 가다 내리다,서울역으로 가주세요.,서울역 가다 내리다서울역으로 가주세요.
713,서울역 가다 차내리다,서울역으로 가주세요.,서울역 가다 차내리다서울역으로 가주세요.
714,고속터미널 내리다 가다,고속버스터미널로 가주세요.,고속터미널 내리다 가다고속버스터미널로 가주세요.
715,고속터미널 내리다 가다,고속버스터미널로 가주세요.,고속터미널 내리다 가다고속버스터미널로 가주세요.
716,고속터미널 차내리다 가다,고속버스터미널로 가주세요.,고속터미널 차내리다 가다고속버스터미널로 가주세요.
717,고속터미널 차내리다 가다,고속버스터미널로 가주세요.,고속터미널 차내리다 가다고속버스터미널로 가주세요.
718,고속터미널 도착 가다,고속버스터미널로 가주세요.,고속터미널 도착 가다고속버스터미널로 가주세요.
719,고속터미널 목적 가다,고속버스터미널로 가주세요.,고속터미널 목적 가다고속버스터미널로 가주세요.
720,고속터미널 곳 가다,고속버스터미널로 가주세요.,고속터미널 곳 가다고속버스터미널로 가주세요.
721,고속터미널 가다 내리다,고속버스터미널로 가주세요.,고속터미널 가다 내리다고속버스터미널로 가주세요.
722,고속터미널 가다 내리다,고속버스터미널로 가주세요.,고속터미널 가다 내리다고속버스터미널로 가주세요.
723,고속터미널 가다 차내리다,고속버스터미널로 가주세요.,고속터미널 가다 차내리다고속버스터미널로 가주세요.
724,지름길 내리다 가다,지름길로 가주세요.,지름길 내리다 가다지름길로 가주세요.
725,지름길 내리다 가다,지름길로 가주세요.,지름길 내리다 가다지름길로 가주세요.
726,지름길 차내리다 가다,지름길로 가주세요.,지름길 차내리다 가다지름길로 가주세요.
727,지름길 차내리다 가다,지름길로 가주세요.,지름길 차내리다 가다지름길로 가주세요.
728,지름길 도착 가다,지름길로 가주세요.,지름길 도착 가다지름길로 가주세요.
729,지름길 목적 가다,지름길로 가주세요.,지름길 목적 가다지름길로 가주세요.
730,지름길 곳 가다,지름길로 가주세요.,지름길 곳 가다지름길로 가주세요.
731,지름길 가다 내리다,지름길로 가주세요.,지름길 가다 내리다지름길로 가주세요.
732,지름길 가다 내리다,지름길로 가주세요.,지름길 가다 내리다지름길로 가주세요.
733,지름길 가다 차내리다,지름길로 가주세요.,지름길 가다 차내리다지름길로 가주세요.
734,명동 가다 ?,명동역으로 갈까요?,명동 가다 ?명동역으로 갈까요?
735,명동 가다 ?,명동역으로 갈까요?,명동 가다 ?명동역으로 갈까요?
736,명동 내리다 ?,명동역으로 갈까요?,명동 내리다 ?명동역으로 갈까요?
737,명동 내리다 ?,명동역으로 갈까요?,명동 내리다 ?명동역으로 갈까요?
738,명동 차내리다 ?,명동역으로 갈까요?,명동 차내리다 ?명동역으로 갈까요?
739,명동 차내리다 ?,명동역으로 갈까요?,명동 차내리다 ?명동역으로 갈까요?
740,명동 도착 ?,명동역으로 갈까요?,명동 도착 ?명동역으로 갈까요?
741,명동 목적 ?,명동역으로 갈까요?,명동 목적 ?명동역으로 갈까요?
742,명동 곳 ?,명동역으로 갈까요?,명동 곳 ?명동역으로 갈까요?
743,명동 가다 ?,명동역으로 갈까요?,명동 가다 ?명동역으로 갈까요?
744,손바닥찍다 내리다 가다 ?,이 주소로 갈까요?,손바닥찍다 내리다 가다 ?이 주소로 갈까요?
745,손바닥찍다 내리다 가다 ?,이 주소로 갈까요?,손바닥찍다 내리다 가다 ?이 주소로 갈까요?
746,손바닥찍다 차내리다 가다 ?,이 주소로 갈까요?,손바닥찍다 차내리다 가다 ?이 주소로 갈까요?
747,손바닥찍다 차내리다 가다 ?,이 주소로 갈까요?,손바닥찍다 차내리다 가다 ?이 주소로 갈까요?
748,손바닥찍다 도착 가다 ?,이 주소로 갈까요?,손바닥찍다 도착 가다 ?이 주소로 갈까요?
749,손바닥찍다 목적 가다 ?,이 주소로 갈까요?,손바닥찍다 목적 가다 ?이 주소로 갈까요?
750,손바닥찍다 곳 가다 ?,이 주소로 갈까요?,손바닥찍다 곳 가다 ?이 주소로 갈까요?
751,손바닥찍다 가다 내리다 ?,이 주소로 갈까요?,손바닥찍다 가다 내리다 ?이 주소로 갈까요?
752,손바닥찍다 가다 내리다 ?,이 주소로 갈까요?,손바닥찍다 가다 내리다 ?이 주소로 갈까요?
753,손바닥찍다 가다 차내리다 ?,이 주소로 갈까요?,손바닥찍다 가다 차내리다 ?이 주소로 갈까요?
754,공항 내리다 가다 ?,김포공항으로 갈까요?,공항 내리다 가다 ?김포공항으로 갈까요?
755,공항 내리다 가다 ?,김포공항으로 갈까요?,공항 내리다 가다 ?김포공항으로 갈까요?
756,공항 차내리다 가다 ?,김포공항으로 갈까요?,공항 차내리다 가다 ?김포공항으로 갈까요?
757,공항 차내리다 가다 ?,김포공항으로 갈까요?,공항 차내리다 가다 ?김포공항으로 갈까요?
758,공항 도착 가다 ?,김포공항으로 갈까요?,공항 도착 가다 ?김포공항으로 갈까요?
759,공항 목적 가다 ?,김포공항으로 갈까요?,공항 목적 가다 ?김포공항으로 갈까요?
760,공항 곳 가다 ?,김포공항으로 갈까요?,공항 곳 가다 ?김포공항으로 갈까요?
761,공항 가다 내리다 ?,김포공항으로 갈까요?,공항 가다 내리다 ?김포공항으로 갈까요?
762,공항 가다 내리다 ?,김포공항으로 갈까요?,공항 가다 내리다 ?김포공항으로 갈까요?
763,공항 가다 차내리다 ?,김포공항으로 갈까요?,공항 가다 차내리다 ?김포공항으로 갈까요?
764,지름길 내리다 가다 ?,지름길로 갈까요?,지름길 내리다 가다 ?지름길로 갈까요?
765,지름길 내리다 가다 ?,지름길로 갈까요?,지름길 내리다 가다 ?지름길로 갈까요?
766,지름길 차내리다 가다 ?,지름길로 갈까요?,지름길 차내리다 가다 ?지름길로 갈까요?
767,지름길 차내리다 가다 ?,지름길로 갈까요?,지름길 차내리다 가다 ?지름길로 갈까요?
768,지름길 도착 가다 ?,지름길로 갈까요?,지름길 도착 가다 ?지름길로 갈까요?
769,지름길 목적 가다 ?,지름길로 갈까요?,지름길 목적 가다 ?지름길로 갈까요?
770,지름길 곳 가다 ?,지름길로 갈까요?,지름길 곳 가다 ?지름길로 갈까요?
771,지름길 가다 내리다 ?,지름길로 갈까요?,지름길 가다 내리다 ?지름길로 갈까요?
772,지름길 가다 내리다 ?,지름길로 갈까요?,지름길 가다 내리다 ?지름길로 갈까요?
773,지름길 가다 차내리다 ?,지름길로 갈까요?,지름길 가다 차내리다 ?지름길로 갈까요?
774,나사렛 내리다 가다 ?,나사렛대학교로 갈까요?,나사렛 내리다 가다 ?나사렛대학교로 갈까요?
775,나사렛 내리다 가다 ?,나사렛대학교로 갈까요?,나사렛 내리다 가다 ?나사렛대학교로 갈까요?
776,나사렛 차내리다 가다 ?,나사렛대학교로 갈까요?,나사렛 차내리다 가다 ?나사렛대학교로 갈까요?
777,나사렛 차내리다 가다 ?,나사렛대학교로 갈까요?,나사렛 차내리다 가다 ?나사렛대학교로 갈까요?
778,나사렛 도착 가다 ?,나사렛대학교로 갈까요?,나사렛 도착 가다 ?나사렛대학교로 갈까요?
779,학교 안 도착,학교 안으로 들어가주세요.,학교 안 도착학교 안으로 들어가주세요.
780,나사렛 목적 가다 ?,나사렛대학교로 갈까요?,나사렛 목적 가다 ?나사렛대학교로 갈까요?
781,나사렛 곳 가다 ?,나사렛대학교로 갈까요?,나사렛 곳 가다 ?나사렛대학교로 갈까요?
782,나사렛 가다 내리다 ?,나사렛대학교로 갈까요?,나사렛 가다 내리다 ?나사렛대학교로 갈까요?
783,나사렛 가다 내리다 ?,나사렛대학교로 갈까요?,나사렛 가다 내리다 ?나사렛대학교로 갈까요?
784,샛길 가다,골목으로 들어가주세요.,샛길 가다골목으로 들어가주세요.
785,샛길 저기,골목으로 들어가주세요.,샛길 저기골목으로 들어가주세요.
786,샛길 저기 가다,골목으로 들어가주세요.,샛길 저기 가다골목으로 들어가주세요.
787,샛길 저기 곳,골목으로 들어가주세요.,샛길 저기 곳골목으로 들어가주세요.
788,샛길 곳,골목으로 들어가주세요.,샛길 곳골목으로 들어가주세요.
789,샛길 도착,골목으로 들어가주세요.,샛길 도착골목으로 들어가주세요.
790,샛길 가다,골목으로 들어가주세요.,샛길 가다골목으로 들어가주세요.
791,샛길 가다,골목으로 들어가주세요.,샛길 가다골목으로 들어가주세요.
792,저기 샛길 가다,골목으로 들어가주세요.,저기 샛길 가다골목으로 들어가주세요.
793,샛길 문 가다,골목으로 들어가주세요.,샛길 문 가다골목으로 들어가주세요.
794,아파트 가다,아파트 단지 안으로 가주세요.,아파트 가다아파트 단지 안으로 가주세요.
795,아파트 저기,아파트 단지 안으로 가주세요.,아파트 저기아파트 단지 안으로 가주세요.
796,아파트 저기 가다,아파트 단지 안으로 가주세요.,아파트 저기 가다아파트 단지 안으로 가주세요.
797,아파트 저기 곳,아파트 단지 안으로 가주세요.,아파트 저기 곳아파트 단지 안으로 가주세요.
798,아파트 안 곳,아파트 단지 안으로 가주세요.,아파트 안 곳아파트 단지 안으로 가주세요.
799,아파트 안 도착,아파트 단지 안으로 가주세요.,아파트 안 도착아파트 단지 안으로 가주세요.
800,아파트 안 가다,아파트 단지 안으로 가주세요.,아파트 안 가다아파트 단지 안으로 가주세요.
801,아파트 가다,아파트 단지 안으로 가주세요.,아파트 가다아파트 단지 안으로 가주세요.
802,저기 아파트 가다,아파트 단지 안으로 가주세요.,저기 아파트 가다아파트 단지 안으로 가주세요.
803,아파트 문 가다,아파트 단지 안으로 가주세요.,아파트 문 가다아파트 단지 안으로 가주세요.
804,학교 저기 ?,학교 안으로 들어갈까요?,학교 저기 ?학교 안으로 들어갈까요?
805,학교 저기 가다 ?,학교 안으로 들어갈까요?,학교 저기 가다 ?학교 안으로 들어갈까요?
806,학교 저기 곳 ?,학교 안으로 들어갈까요?,학교 저기 곳 ?학교 안으로 들어갈까요?
807,학교 안 곳 ?,학교 안으로 들어갈까요?,학교 안 곳 ?학교 안으로 들어갈까요?
808,학교 안 도착 ?,학교 안으로 들어갈까요?,학교 안 도착 ?학교 안으로 들어갈까요?
809,학교 안 가다 ?,학교 안으로 들어갈까요?,학교 안 가다 ?학교 안으로 들어갈까요?
810,샛길 저기 ?,골목으로 들어갈까요?,샛길 저기 ?골목으로 들어갈까요?
811,샛길 저기 가다 ?,골목으로 들어갈까요?,샛길 저기 가다 ?골목으로 들어갈까요?
812,샛길 저기 곳 ?,골목으로 들어갈까요?,샛길 저기 곳 ?골목으로 들어갈까요?
813,샛길 곳 ?,골목으로 들어갈까요?,샛길 곳 ?골목으로 들어갈까요?
814,샛길 도착 ?,골목으로 들어갈까요?,샛길 도착 ?골목으로 들어갈까요?
815,샛길 여기 가다 ?,골목으로 들어갈까요?,샛길 여기 가다 ?골목으로 들어갈까요?
816,아파트 저기 ?,아파트 단지 안으로 들어갈까요?,아파트 저기 ?아파트 단지 안으로 들어갈까요?
817,아파트 저기 가다 ?,아파트 단지 안으로 들어갈까요?,아파트 저기 가다 ?아파트 단지 안으로 들어갈까요?
818,아파트 저기 곳 ?,아파트 단지 안으로 들어갈까요?,아파트 저기 곳 ?아파트 단지 안으로 들어갈까요?
819,아파트 안 곳 ?,아파트 단지 안으로 들어갈까요?,아파트 안 곳 ?아파트 단지 안으로 들어갈까요?
820,아파트 안 도착 ?,아파트 단지 안으로 들어갈까요?,아파트 안 도착 ?아파트 단지 안으로 들어갈까요?
821,아파트 안 가다 ?,아파트 단지 안으로 들어갈까요?,아파트 안 가다 ?아파트 단지 안으로 들어갈까요?
822,나사렛 전 내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 내리다나사렛대학교 못가서 내려주세요.
823,나사렛 전 내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 내리다나사렛대학교 못가서 내려주세요.
824,나사렛 전 차내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 차내리다나사렛대학교 못가서 내려주세요.
825,나사렛 전 차내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 차내리다나사렛대학교 못가서 내려주세요.
826,나사렛 전 곳,나사렛대학교 못가서 내려주세요.,나사렛 전 곳나사렛대학교 못가서 내려주세요.
827,나사렛 전 도착 내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 도착 내리다나사렛대학교 못가서 내려주세요.
828,나사렛 전 도착 내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 도착 내리다나사렛대학교 못가서 내려주세요.
829,나사렛 전 도착 차내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 도착 차내리다나사렛대학교 못가서 내려주세요.
830,나사렛 전 도착 차내리다,나사렛대학교 못가서 내려주세요.,나사렛 전 도착 차내리다나사렛대학교 못가서 내려주세요.
831,나사렛 전 저기,나사렛대학교 못가서 내려주세요.,나사렛 전 저기나사렛대학교 못가서 내려주세요.
832,저기 맞다,저기서 내려주세요.,저기 맞다저기서 내려주세요.
833,저기 맞다,저기서 내려주세요.,저기 맞다저기서 내려주세요.
834,저기 내리다 맞다,저기서 내려주세요.,저기 내리다 맞다저기서 내려주세요.
835,저기 내리다 맞다,저기서 내려주세요.,저기 내리다 맞다저기서 내려주세요.
836,저기 차내리다 맞다,저기서 내려주세요.,저기 차내리다 맞다저기서 내려주세요.
837,저기 차내리다 맞다,저기서 내려주세요.,저기 차내리다 맞다저기서 내려주세요.
838,저기 내리다 맞다,저기서 내려주세요.,저기 내리다 맞다저기서 내려주세요.
839,저기 내리다 맞다,저기서 내려주세요.,저기 내리다 맞다저기서 내려주세요.
840,저기 차내리다 맞다,저기서 내려주세요.,저기 차내리다 맞다저기서 내려주세요.
841,저기 차내리다 맞다,저기서 내려주세요.,저기 차내리다 맞다저기서 내려주세요.
842,기차 곳 맞다,기차역에서 내려주세요.,기차 곳 맞다기차역에서 내려주세요.
843,기차 곳 맞다,기차역에서 내려주세요.,기차 곳 맞다기차역에서 내려주세요.
844,기차 곳 내리다 맞다,기차역에서 내려주세요.,기차 곳 내리다 맞다기차역에서 내려주세요.
845,기차 곳 내리다 맞다,기차역에서 내려주세요.,기차 곳 내리다 맞다기차역에서 내려주세요.
846,기차 곳 차내리다 맞다,기차역에서 내려주세요.,기차 곳 차내리다 맞다기차역에서 내려주세요.
847,기차 곳 차내리다 맞다,기차역에서 내려주세요.,기차 곳 차내리다 맞다기차역에서 내려주세요.
848,기차 곳 내리다 맞다,기차역에서 내려주세요.,기차 곳 내리다 맞다기차역에서 내려주세요.
849,기차 곳 내리다 맞다,기차역에서 내려주세요.,기차 곳 내리다 맞다기차역에서 내려주세요.
850,기차 곳 차내리다 맞다,기차역에서 내려주세요.,기차 곳 차내리다 맞다기차역에서 내려주세요.
851,기차 곳 차내리다 맞다,기차역에서 내려주세요.,기차 곳 차내리다 맞다기차역에서 내려주세요.
852,버스 곳 맞다,버스정류장에서 내려주세요.,버스 곳 맞다버스정류장에서 내려주세요.
853,버스 곳 맞다,버스정류장에서 내려주세요.,버스 곳 맞다버스정류장에서 내려주세요.
854,버스 곳 내리다 맞다,버스정류장에서 내려주세요.,버스 곳 내리다 맞다버스정류장에서 내려주세요.
855,버스 곳 내리다 맞다,버스정류장에서 내려주세요.,버스 곳 내리다 맞다버스정류장에서 내려주세요.
856,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.,버스 곳 차내리다 맞다버스정류장에서 내려주세요.
857,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.,버스 곳 차내리다 맞다버스정류장에서 내려주세요.
858,버스 곳 내리다 맞다,버스정류장에서 내려주세요.,버스 곳 내리다 맞다버스정류장에서 내려주세요.
859,버스 곳 내리다 맞다,버스정류장에서 내려주세요.,버스 곳 내리다 맞다버스정류장에서 내려주세요.
860,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.,버스 곳 차내리다 맞다버스정류장에서 내려주세요.
861,버스 곳 차내리다 맞다,버스정류장에서 내려주세요.,버스 곳 차내리다 맞다버스정류장에서 내려주세요.
862,건너다,건너편에서 내려주세요.,건너다건너편에서 내려주세요.
863,건너다 내리다,건너편에서 내려주세요.,건너다 내리다건너편에서 내려주세요.
864,건너다 내리다,건너편에서 내려주세요.,건너다 내리다건너편에서 내려주세요.
865,건너다 차내리다,건너편에서 내려주세요.,건너다 차내리다건너편에서 내려주세요.
866,건너다 차내리다,건너편에서 내려주세요.,건너다 차내리다건너편에서 내려주세요.
867,건너다 오케이,건너편에서 내려주세요.,건너다 오케이건너편에서 내려주세요.
868,건너다 차두다,건너편에서 내려주세요.,건너다 차두다건너편에서 내려주세요.
869,건너다 내리다 오케이,건너편에서 내려주세요.,건너다 내리다 오케이건너편에서 내려주세요.
870,건너다 내리다 오케이,건너편에서 내려주세요.,건너다 내리다 오케이건너편에서 내려주세요.
871,건너다 차내리다 오케이,건너편에서 내려주세요.,건너다 차내리다 오케이건너편에서 내려주세요.
872,건너다 차내리다 오케이,건너편에서 내려주세요.,건너다 차내리다 오케이건너편에서 내려주세요.
873,시청,시청으로 가주세요.,시청시청으로 가주세요.
874,시청 내리다,시청으로 가주세요.,시청 내리다시청으로 가주세요.
875,시청 내리다,시청으로 가주세요.,시청 내리다시청으로 가주세요.
876,시청 차내리다,시청으로 가주세요.,시청 차내리다시청으로 가주세요.
877,시청 차내리다,시청으로 가주세요.,시청 차내리다시청으로 가주세요.
878,시청 오케이,시청으로 가주세요.,시청 오케이시청으로 가주세요.
879,시청 차두다,시청으로 가주세요.,시청 차두다시청으로 가주세요.
880,시청 내리다 오케이,시청으로 가주세요.,시청 내리다 오케이시청으로 가주세요.
881,시청 내리다 오케이,시청으로 가주세요.,시청 내리다 오케이시청으로 가주세요.
882,시청 차내리다 오케이,시청으로 가주세요.,시청 차내리다 오케이시청으로 가주세요.
883,시청 차내리다 오케이,시청으로 가주세요.,시청 차내리다 오케이시청으로 가주세요.
884,여기 맞다 ?,여기서 내려드릴까요?,여기 맞다 ?여기서 내려드릴까요?
885,여기 맞다 ?,여기서 내려드릴까요?,여기 맞다 ?여기서 내려드릴까요?
886,여기 내리다 맞다 ?,여기서 내려드릴까요?,여기 내리다 맞다 ?여기서 내려드릴까요?
887,여기 내리다 맞다 ?,여기서 내려드릴까요?,여기 내리다 맞다 ?여기서 내려드릴까요?
888,여기 차내리다 맞다 ?,여기서 내려드릴까요?,여기 차내리다 맞다 ?여기서 내려드릴까요?
889,여기 차내리다 맞다 ?,여기서 내려드릴까요?,여기 차내리다 맞다 ?여기서 내려드릴까요?
890,여기 내리다 맞다 ?,여기서 내려드릴까요?,여기 내리다 맞다 ?여기서 내려드릴까요?
891,여기 내리다 맞다 ?,여기서 내려드릴까요?,여기 내리다 맞다 ?여기서 내려드릴까요?
892,여기 차내리다 맞다 ?,여기서 내려드릴까요?,여기 차내리다 맞다 ?여기서 내려드릴까요?
893,여기 차내리다 맞다 ?,여기서 내려드릴까요?,여기 차내리다 맞다 ?여기서 내려드릴까요?
894,지금 맞다 ?,지금 내려드릴까요?,지금 맞다 ?지금 내려드릴까요?
895,지금 맞다 ?,지금 내려드릴까요?,지금 맞다 ?지금 내려드릴까요?
896,지금 내리다 맞다 ?,지금 내려드릴까요?,지금 내리다 맞다 ?지금 내려드릴까요?
897,지금 내리다 맞다 ?,지금 내려드릴까요?,지금 내리다 맞다 ?지금 내려드릴까요?
898,지금 차내리다 맞다 ?,지금 내려드릴까요?,지금 차내리다 맞다 ?지금 내려드릴까요?
899,지금 차내리다 맞다 ?,지금 내려드릴까요?,지금 차내리다 맞다 ?지금 내려드릴까요?
900,지금 내리다 맞다 ?,지금 내려드릴까요?,지금 내리다 맞다 ?지금 내려드릴까요?
901,지금 내리다 맞다 ?,지금 내려드릴까요?,지금 내리다 맞다 ?지금 내려드릴까요?
902,지금 차내리다 맞다 ?,지금 내려드릴까요?,지금 차내리다 맞다 ?지금 내려드릴까요?
903,지금 차내리다 맞다 ?,지금 내려드릴까요?,지금 차내리다 맞다 ?지금 내려드릴까요?
904,기차 곳 맞다 ?,기차역에서 내려드릴까요?,기차 곳 맞다 ?기차역에서 내려드릴까요?
905,기차 곳 맞다 ?,기차역에서 내려드릴까요?,기차 곳 맞다 ?기차역에서 내려드릴까요?
906,기차 곳 내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 내리다 맞다 ?기차역에서 내려드릴까요?
907,기차 곳 내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 내리다 맞다 ?기차역에서 내려드릴까요?
908,기차 곳 차내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 차내리다 맞다 ?기차역에서 내려드릴까요?
909,기차 곳 차내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 차내리다 맞다 ?기차역에서 내려드릴까요?
910,기차 곳 내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 내리다 맞다 ?기차역에서 내려드릴까요?
911,기차 곳 내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 내리다 맞다 ?기차역에서 내려드릴까요?
912,기차 곳 차내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 차내리다 맞다 ?기차역에서 내려드릴까요?
913,기차 곳 차내리다 맞다 ?,기차역에서 내려드릴까요?,기차 곳 차내리다 맞다 ?기차역에서 내려드릴까요?
914,버스 곳 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 맞다 ?버스정류장에서 내려드릴까요?
915,버스 곳 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 맞다 ?버스정류장에서 내려드릴까요?
916,버스 곳 내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 내리다 맞다 ?버스정류장에서 내려드릴까요?
917,버스 곳 내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 내리다 맞다 ?버스정류장에서 내려드릴까요?
918,버스 곳 차내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 차내리다 맞다 ?버스정류장에서 내려드릴까요?
919,버스 곳 차내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 차내리다 맞다 ?버스정류장에서 내려드릴까요?
920,버스 곳 내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 내리다 맞다 ?버스정류장에서 내려드릴까요?
921,버스 곳 내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 내리다 맞다 ?버스정류장에서 내려드릴까요?
922,버스 곳 차내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 차내리다 맞다 ?버스정류장에서 내려드릴까요?
923,버스 곳 차내리다 맞다 ?,버스정류장에서 내려드릴까요?,버스 곳 차내리다 맞다 ?버스정류장에서 내려드릴까요?
924,건너다 ?,건너편에서 내려드릴까요?,건너다 ?건너편에서 내려드릴까요?
925,건너다 내리다 ?,건너편에서 내려드릴까요?,건너다 내리다 ?건너편에서 내려드릴까요?
926,건너다 내리다 ?,건너편에서 내려드릴까요?,건너다 내리다 ?건너편에서 내려드릴까요?
927,건너다 차내리다 ?,건너편에서 내려드릴까요?,건너다 차내리다 ?건너편에서 내려드릴까요?
928,건너다 차내리다 ?,건너편에서 내려드릴까요?,건너다 차내리다 ?건너편에서 내려드릴까요?
929,건너다 오케이 ?,건너편에서 내려드릴까요?,건너다 오케이 ?건너편에서 내려드릴까요?
930,건너다 차두다 ?,건너편에서 내려드릴까요?,건너다 차두다 ?건너편에서 내려드릴까요?
931,건너다 내리다 오케이 ?,건너편에서 내려드릴까요?,건너다 내리다 오케이 ?건너편에서 내려드릴까요?
932,건너다 내리다 오케이 ?,건너편에서 내려드릴까요?,건너다 내리다 오케이 ?건너편에서 내려드릴까요?
933,건너다 차내리다 오케이 ?,건너편에서 내려드릴까요?,건너다 차내리다 오케이 ?건너편에서 내려드릴까요?
934,건너다 차내리다 오케이 ?,건너편에서 내려드릴까요?,건너다 차내리다 오케이 ?건너편에서 내려드릴까요?
935,시청 ?,시청에서 내려드릴까요?,시청 ?시청에서 내려드릴까요?
