formal	informal	android	azae	chat	choding	emoticon	enfp	gentle	halbae	halmae	joongding	king	naruto	seonbi	sosim	translator
뛰시는건가요?	뛰는거야?	뛰기. 예정인가.	뛰는거야?	뛰는거임?	뛰는거임?	뛰는거야?? (´･ω･`)?	머야 달리기 하는거야~??	뛰러 가시나요?	뛰어가는겐가?	염병 뛰러가는겨?	뛰냐?	경보할 셈인가?	뛰는 거냐니깐!	뛰는 것이오?	뛰는거야 혹시..?	달리는?
네, 한 달 뒤에 하는 마라톤을 준비하고 있어요.	응, 한 달 뒤에 하는 마라톤을 준비하고 있어.	긍정. 한달 후. 마라톤 예정. 따라서. 준비중.	어어 그치 한달 뒤에 하는 마라톤 준비하고 있어	ㅇㅇ 마라톤이 한 달 뒤라서 준비하고 있음	ㅇㅇ 한달 뒤에 마라톤 조질거임	응! ^0^ 한 달 뒤에 열리는 마라톤 준비중임! ~(=^‥^)ノ	웅웅! 한달 뒤에 하는 마라톤~ 그냥 한번 준비해보구 있엉 ㅎㅎ	네~, 한 달 뒤 마라톤을 준비하고 있습니다.	그렇지~ 한 달 뒤에 마라톤이 열리는데…그거 내가 지금 준비하고 있네그려…허허…	그려 한 달 뒤에 하는 뭣같은 마라톤 준비중이여	ㅇㅇ 다음달에 마라톤 준비할건데	그렇소. 한달 후에 있는 마라톤을 위해 정진중이오.	그렇다니깐! 한 달 뒤에 열리는 마라톤 준비하고 있다니깐!	그렇소! 한 달 뒤에 열리는 마라톤을 준비하고 있소! 	응.. 한달 뒤에 마라톤 준비하는 중이야.. ㅠ	그런. 준비중이다 한 달 후의 마라톤을 위해.
꼭 좋은 성적을 받으시길 바랄게요.	꼭 좋은 성적을 받으시길 바랄게.	좋은 성적. 기대한다.	좋은 성적 받으면 좋겠구만	꼭 좋은 성적 받길 바랄게!	ㅇㅎ 대충 좋은 결과 나오길 바란다는 말~	꼭 좋은 성적 받길 바랄게! B(￣▽￣)d	대박 ㅎㅎ 1등하길 내가 두손 꼬옥 잡고 기도할겡!	좋은 성적 받으시길 바랍니다.	꼭 쫗은 성적…받으시게나…	지랄하는 만큼 성적같은 성적 나오길 바라네	ㅋ 성적 잘 받던가 해라	훌륭한 성과가 있기를 바라겠네.	꼭 좋은 성적 받길 바란다니깐!	꼭 좋은 성적 받길 바라겠소!	좋은 성적 받았으면.. 좋겠어.. ㅠ	당신의 좋은 성적을 지지.
아니요, 자선 마라톤이기 때문에 완주에 의의를 두고 있습니다.	아니, 자선 마라톤이여서 완주에 의의를 두고 있어	부정. 자선 마라톤. 따라서. 완주. 목표.	아니아니 그 자선 마라톤이라 기냥 완주에 의의 두는 거지 머~	아니, 자선 마라톤이라서 걍 완주에 의의를 두고 있음 ㅋㅋ	ㄴㄴ 자선 마라톤이라 걍 완주에 의의를 두려고	아니..(￣ ‘I ￣;), 자선 마라톤이라서 완주에 의의를 두고 있음..(;´༎ຶД༎ຶ`)	아냥! 자선 마라톤이라 끝까지 뛰는 게 의미 있는거라구!	허허 괜찮습니다. 자선 마라톤이라 완주에 의의를 두고 있습니다.	아닐세…자선 마라톤이라서…완주에 의의를 두고 있는겨…	아니여 병신아 자선 마라톤이여서 완주에 의의두는거여 혼자 설레발을 태평양 건너편까지 치고 자빠졌네	자선마라톤이라 완주만 할건데	그렇지 않네. 자선 마라톤임이에, 완주를 목적으로 하고 있네.	아니…자선 마라톤이라서 완주에 의의를 두고 있다니깐..!	아니…자선 마라톤이라서 소생은 완주에 의의를 두고 있소…	아.. 아니야 자선 마라톤이라.. 완주가 목표야 ㅠ	아닌. 이것이 자선 마라톤이므로 나의 목표는 완성입니다.
전 마라톤을 한번도 뛰어본 적이 없는데, 참가할 수 있나요?	그럼 나도 마라톤을 한번도 뛰어본 적이 없는데, 참가할 수 있어?	안드로이드. 마라톤. 경험. 없음. 참가. 가능한가.	엇 그럼 나도 마라톤 한~번도 뛰어본 적이 없는데 참가할 수가 있나~?	그럼 나도 마라톤 한 번도 안해봤는데, 참가 가능함?	아 ㄹㅇ? 나 마라톤 초면인데, 나도 참가 가능?	그럼 나도 마라톤 한 번도 뛰어본적 없는데 참가 가능함? (⊙_⊙)？	나 마라톤 한번도 뛰어본 적 없는뎅,, 참가할 수 있나?!	전 마라톤을 한번도 뛰어본 적이 없습니다. 그래도 참가할 수 있을까요?	그럼…나도…마라톤 한 번도..뛰어 본적이 없는데…참가할 수 있는겨?...	난 그딴 염병할 거 한번도 뛰어본 적 읎는디 우째 참가할 수 있대?	나 마라톤 안해봤는데 나도 참가 되냐?	짐 또한 마라톤을 경험해 본 적이 없는데, 참가할 수 있겠는가?	그럼 나도 마라톤 한 번도 뛰어본 적 없는데 참가 가능하냐니깐?!	그럼 소생도 마라톤 한 번도 뛰어본 적 없는데 참가 할 수 있는 것이오?	그럼 나도 마라톤 한번도 안뛰어봤는데.. 참가할 수있어? ㅠ	나는 마라톤에 참여한 적이 없지만, 참가가 가능합니까?
운동을 아예 안하신 분이라면 힘들겠지만, 완주 정도는 약간의 훈련으로도 가능할 것 같습니다.	운동을 아예 안 한 사람이라면 힘들겠지만, 완주 정도는 약간의 훈련으로도 가능할 것 같아.	운동. 미경험자. 힘듬. 그러나. 완주. 훈련으로 가능.	아잇 운동을 아예 안한 사람이면 힘들지. 그냥 뭐 완주 정도면 약간만 훈련하면 되고	운동을 아예 안하는 사람이면 힘들겠지만, 완주 정도는 조금만 훈련해도 가능할듯?	음,,, 슬라임 수준이면 힘들겠지만, 완주가 목표면 약간 훈련하는 걸로 커버 쌉가능일 듯	운동을 아예 안 한 사람이면 힘들겠지만 ( •̀ ω •́ )✧ 완주 정도는 약간 훈련하는 걸로 가능 할 듯! (～￣▽￣)～	음,, 운동을 아예 안한 슬라임 같으면 조끔 힘들지만! 완주는 조꼼 훈련하며는 완전 가능가능~!!	운동을 아예 해보지 않으신 분이라면 힘듭니다. 완주 정도는 약간의 훈련으로도 가능하겠네요.	운동을 아예…안 한 사람이라면…힘들겠다만…완주 정도라면 조금 룬련하면 가능할 걸세…	산송장 맹키로 운동을 안한 놈이면 디지 것지만 완주 정돈 병신만 아님 가능혀	운동 안했으면 못하는데 훈련좀 하면 완주 가능함	평소 활동이 적은 이라면 어려운 일이겠으나, 완주는 조금의 훈련으로도 가능한 일이오.	운동을 아예 안 한 사람이라면 힘들겠지만! 완주 정도라면 약간 훈련하는 정도로 가능 할 것 같다니깐!	운동을 아예 안 함 사람이면 힘들것이라 생각하오지만, 완주 정도면 약간 훈련을 하면 가능할 것이라는 생각하오!	운동 아예 안한 사람이면 힘들건데 완주 정도는.. 훈련 약간만 해도 가능하지 않을까..?	신체 운동이 활발하지 않은 사람에게 이것은 어렵습니다. 하지만 완성까지는 훈련을 통해 가능한.
그러면 저도 준비해야겠네요.	그러면 나도 준비해야겠다.	따라서. 안드로이드. 준비 계획.	아이고 그럼 나도 준비 한번 해봐야겠구만	그럼 나도 준비해야겠네	ㅇㅎ 그럼 나도 준비 조져본다	그럼 나도 준비해야겠다! ( •̀ ω •́ )✧	그럼 나두 준비해야봐야겠당 ㅎㅎ!!	그렇다면 저도 준비해봐야겠네요.	그럼 나도 준비해야겠구먼….	시부럴 거 나도 함 준비해봐야것네	준비해야겠네 그럼	허면 짐 또한 준비에 정진하겠소.	그럼 나도 준비해야겠다니깐!	그럼 소생도 준비해야겠소!	아.. 그럼 나도 준비해야겠다 ㅠ	따라서 나도 준비한다.
																
안녕하세요, 잘 지내고 있으셨어요?	안녕, 잘 지내고 있었어?	반갑다. 근황. 어떤가.	아이고! 오랜만이네? 잘 지내고 있나?	ㅎㅇ~ 잘 지냈음?	ㅎㅇ 잘 지냄?	안뇽! ^0^ 잘 지내고 있엉? (‾◡◝)	안뇽안뇽~ 대박 오랜만!! 잘 지내고 있었어??!?	안녕하십니까? 잘 지내고 계셨는지요~?	안녕하신가…잘 지내고 있는가?...	염병 잘 지냈냐?	ㅎㅇ 잘사냐	반갑네. 그간 강녕했는가?	안녕하냐니깐! 잘 지내고 있냐니깐! 	안녕하셨소! 잘 지내고 있는 것이오?	안녕.. 잘 지냈어 혹시..?	반가운. 당신은 잘 지냅니까?
매우 잘 지내고 있었습니다. 그쪽은 오늘 어떠신가요?	매우 잘 지내고 있었지. 넌 오늘 어때?	아주 좋다. 휴먼. 오늘. 어떤가.	아유 그럼! 잘 지내지~ 그짝은 어떻게 오늘 뭐하나?	완전 잘 지내지~, 넌 오늘 어땠음?	ㅇㅇ 극락임. 넌 오늘 ㄱㅊ?	매우 잘 지내고 있었지~[]~(￣▽￣)~* 넌 오늘 어땡? (´･ω･`)?	헐 난 완전 대박 잘 지내구 있었징!! 너눈?! 오늘 어땠엉~?	매우 잘 지내고 있었습니다,, 그쪽은 오늘 어떠십니까?	거….잘…지내고 있지…자넨 오늘 어뗘?...	오지게 잘 지내고 있지 니놈은 오늘 별 일 없대?	ㅇ 잘지내지 그럼 못지냄? 잘사냐	아주 잘 지냈소. 그대는 오늘 어떠한가?	엄청 잘 지내고 있었다니깐! 넌 오늘 어떠냐니깐!	소생은 매우 잘 지내고 있소! 오늘 어떠시오?	잘 지냈지.. 넌 오늘 어떄 혹시..? ㅠ	굉장히 좋은. 당신은 오늘 어떤?
저도 좋습니다. 방금 식당에서 퇴근했어요.	나도 잘 지내고 있어. 방금 식당에서 퇴근했어.	안드로이드. 잘 지냄. 방금. 퇴근. 식당에서.	말해 뭐해 잘 지내지 방금 그 식당에서 퇴근했어	나도 잘 지내고 있지. 방금 식당에서 퇴근했음	ㅇㅇ ㄱㅊㄱㅊ 방금 식당에서 퇴근함 ㅋㅋ	나도 잘 지내고 있어~ψ(｀∇´)ψψ(｀∇´)ψ 방금 식당에서 퇴근했징! ＼(0^◇^0)/	나두 완전 잘 지냈징~ 방금 식당에서 퇴근했어ㅜ	저도 좋습니다. 방금 식당에서 퇴근을 했네요.	나도…잘 지내고 있지..방금 식당에서 퇴근했어...	염병하게 좋네 방금 뭣같은 식당에서 퇴근허구 왔어	잘지냄 방금 식당에서 퇴근함	짐 또한 무탈했소. 방금 수라간에서 퇴근했네.	나도 잘 지낸다니깐! 방금 식당에서 퇴근했다니깐! 	소생도 잘 지내고 있소! 방금 식당에서 퇴근한 것이오! 	나도 잘 지냈어.. 방금 식당에서 퇴근했어 ㅠ	나 또한 좋다. 나는 방금 식당으로부터 퇴근했습니다.
식당 일이 힘들진 않나요? 사람들이 음식에 대해 불평을 자주 한다고 들었어요.	식당 일이 힘들진 않아? 사람들이 음식에 대해 불평을 자주 한다고 들었는데.	식당 일. 힘든가. 인간들. 음식에 대해. 불평.	일이 뭐 힘들거나 그러진 않어? 사람들이 음식 가지고 뭐라 해댄대매	식당 일 힘들지 않냐? 사람들이 음식 불평 자주 한다고 하던데	식당일 안 힘듦? 사람들이 음식 불평 오지게 한다던대	식당 일 힘들지 않음? {{{(>_<)}}} 사람들이 음식 불평 자주 한다고 들었는데…┗( T﹏T )┛	식당 일 대박 힘들 거 같아 안 힘들엉? 사람들이 음식에 대해서 엄~청 궁시렁댄다던대	식당 일이 힘드시진 않나요? 사람들이 음식에 대하여 불평을 자주 한다고 들었습니다.	식당 일 힘들진 않어?...사람들이 그 뭐시냐…음식에 자꾸 불평불만 한다고 내가 들었던거 같은디…	그 염병할 거 힘들진 않대? 지랄맞은 년놈들이 음식 가지고 지랄지랄을 해댄다드만	힘들지도 않냐? 사람들이 맨날 불평할 것 같은데 ㅋ	수라간 일이 피로하지는 않는가? 음식에 대한 불평이 잦다고 들었네만.	식당 일 힘들지 않냐니깐? 사람들이 음식에 불평을 자주 한다고 들었다니깐!	식당 일이 힘들거나 하지는 않소? 사람들이 음식에 불평을 자주 한다고 들었소이만…! 	혹시 식당 일은 안힘들어..? 사람들이 음식 불평 자주 한다고 들었는데.. ㅠ	식당 일로부터 지치지는 않습니까? 사람들은 음식에게 자주 불평을 한다.
지금은 힘들지만 언젠가는 제 레스토랑을 차리고 싶습니다.	지금은 힘들지만 언젠가는 내 레스토랑을 차리고 싶어.	현재. 힘듬. 그러나. 미래 계획. 레스토랑. 차리기.	아이,, 뭐 지금은 힘든데, 언젠가 내 레스토랑 차리고 싶으니까,, 뭐 열심히 해야지 어떻게	지금은 힘들지만 언젠간 나만의 레스토랑을 차리고 싶어	지금은 좀 힘들지만 나중에 내 레스토랑 차리려면 존버해야지	지금은 힘들지만 ～(　TロT)σ 언제가는 내 레스토랑을 차리고 싶엉! Ψ(｀∇´)ψ	지금은 엄~청 힘들지만 언젠가는 내 레스토랑 차리고 싶어!!	지금은 힘들죠. 언젠가 제 레스토랑을 차릴 것입니다.	지금은 힘들어도…언제간…내 레스트랑 차리고 싶네그려…	지금은 좆같은디 언젠간 내꺼 차리려 글제	힘들지 ㅡㅡ 근데 나중에 내 레스토랑 차릴거	지금은 힘들지만, 추후 짐만의 수라간을 차리고 싶다네.	지금은 힘들지만 언젠가는 내 레스토랑을 차리고 싶다니깐!	지금은 힘들지만 언제가는 소생만의 레스트랑을 차리고 싶은 것이오! 	지금은 힘든데 언젠가는 내 레스토랑 차리고 싶어..	지금은 지치는 것이 사실이지만 내 목표는 자신의 음식점 소유다.
멋있네요. 저는 빵집을 운영하고 있습니다.	멋있네. 난 빵집을 운영하고 있어.	긍정. 안드로이드. 빵집. 운영.	크,, 멋깔나네 난 빵집 운영하잖어	멋지네, 난 빵집 운영하고 싶음	멋지다 야~ 난 빵집 운영함	멋있네! ☜(ﾟヮﾟ☜) 난 빵집 운영하고 있어!      (＾Ｕ＾)ノ~ＹＯ	멋지당~ 나는 빵집 운영하고 있엉 ㅎㅎ	멋있습니다. 저는 빵집을 운영하고 있습니다.	멋있구먼…나는..빵집 운영하고 있네…	염병하게 믓찌네 난 빵집 운영하고 있네 시부럴	ㅇㅎ 난 빵집운영함	대단한지고. 짐은 빵집을 책임지고 있소.	멋있다니깐! 난 빵집을 운영하고 있다니깐!	멋있다고 생각하오! 소생은 빵집을 운영하고 있소! 	멋있다 ㅠ 난 빵집 운영하고 있어..	아름다운. 나는 빵집을 운영합니다.
빵집 일은 어떤가요?	빵집 일은 어때?	빵집 일. 어떤가.	빵집 일은 어때 잘 되나?	빵집 일은 어때?	빵집은 어떰?	빵집 일은 어때? (´･ω･`)?	빵집 일은 어때 어때?!	빵집 일은 어떠십니까?	빵집 일은 으떤겨?..	니미럴 빵집 일은 어떤디?	빵집 어떤데	빵집 일은 어떠한가?	빵집 일은 어떻냐니깐!	빵집 일은 어떤것이오?	빵집 일은 어때 혹시..?	빵집에서의 일은 어떤?
좋아요. 음악을 들으면서 일을 하기도 하고, 남는 빵은 제가 먹기도 합니다.	좋아. 음악을 들으면서 일을 하기도 하고, 남는 빵은 내가 먹기도 해.	긍정. 음악감상. 병행. 일. 그리고. 남는 빵. 안드로이드. 섭취.	좋지 뭐,, 음악 들으면서 일하기도 허구, 남는 빵 먹기도 하고 	좋지. 음악 들으면서 일도 하고 남는 빵은 내가 먹고	ㄹㅇ 개꿀임 ㅋㅋ 음악 들으면서 일하기도 하고 남은 빵은 내가 먹기도 함 냠냠긋~	좋아! ^0^, 음악 들으면서 일 하기도 하고 남는 빵은 내가 먹기도 해! (★ ω ★)	좋아! 음악을 들으면서 일하기도 하구,, 남는 빵은 내가 냠냠 먹기도 해~~	좋습니다. 음악 들으며 일하기도 합니다. 남은 빵을 먹기도 하고요.	좋구먼…음악도 들으면서 일하고…남는 빵들은 내가 먹기도 한다네…	염병해 노래 들음서 일도 하고 남은 빵쪼가리 주워 먹기도 혀	ㄱㅊ음 음악들으면서 일하고 남는 빵 내가 먹음	훌륭하오. 음악을 들으며 과업에 정진하기도 하고, 여분의 빵은 짐이 먹기도 하오.	좋다니깐! 음악 들으면서 일하기도 하고 남는 빵은 내가 먹기도 한다니깐!	좋다고 생각하오! 음악을 들으면서 일을 하기도하고 남는 빵은 소생이 먹기도 하오!	좋아 ㅠ 음악 들으면서 일도 하고.. 그.. 남는 빵은 내가 먹기도 해 ㅠ	좋은. 음악과 함께 일을 하고 남은 빵은 내 소유가 된다.
남는 빵을 먹을 수 있는건 부럽네요. 어떤 음악을 좋아하세요?	남는 빵을 먹을 수 있는건 부럽다. 어떤 음악을 좋아해?	남은 빵. 섭취. 부럽다. 음악. 무엇. 선호하는가.	남는 빵 먹는 건 부럽네 뭐 그 좋아하는 음악 뭐 있나?	남는 빵 먹을 수 있는거 부러운데…음악은 뭐 좋아해?	남는 빵 먹는 건 ㄹㅇ 부럽누 어떤 음악 좋아함?	남는 빵  먹을 수 있는건 부럽다! (╬▔皿▔)╯. 어떤 음악 좋아해? (⊙_⊙)？	남는 빵 먹는 건 부럽당!!! 어떤 음악을 좋아행?!	남을 빵을 먹을 수 있는건 부럽습니다. 어떤 음악을 좋아하십니까?	남은 방을 먹을 수 있는건 좋은 것 같구먼…음악은 뭐 좋아혀?..	남은 빵쪼가리 주워먹는 건 좀 배아프네 뭔 음악 듣는데?	빵 맨날 먹겠네. 노래는 뭐듣냐	여분의 빵을 먹을 수 있다니 부럽소. 어떤 음악을 선호하는가?	남는 빵 먹을 수 있는건 부럽다니깐! 어떤 음악 좋아하냐니깐!	남는 빵을 먹을 수 있는건 부러운 것이오! 어떤 음악을 좋아하오?	아.. 남는 빵 먹는건 부러운 것 같아..ㅠ 음악은 혹시 뭐 좋아해..?	잔여 빵 섭취가 부럽습니다. 어떤 종류의 음악을 즐기나요?
저는 클래식하고 재즈를 좋아해요.	난 클래식하고 재즈를 좋아해.	안드로이드. 클래식. 그리고. 재즈. 선호.	나는 요새 그 클래식하고 재즈 그게 좋더만	나 클래식하고 재즈 좋아함	나? 클래식하고 재즈	난 클래식하고 재즈 좋아해! ヾ(⌐■_■)ノ♪	난 클래식~하고 재즈!	저는 클래식하고 재즈를 좋아합니다.	난 클래식하고 재즈 좋아혀..	클래식하고 재즈 환장하지	클래식하고 재즈 듣는데 왜	과인은 클래식과 재즈를 즐기오.	난 클래식하고 재즈 좋아한다니깐! 	소생은 클래식하고 재즈를 좋아한다오! 	난 클래식이랑.. 그.. 재즈 좋아해 ㅠ	나의 선호는 클래식과 재즈 음악이다.
저도 그거 좋아해요! 전 주로 뛰면서 음악을 듣는걸 좋아합니다.	나도 그거 좋아해요! 난 주로 뛰면서 음악을 듣는걸 좋아해.	안드로이드. 또한. 선호. 안드로이드. 달리기. 음악듣기. 선호.	아유 내가 또 좋아하는 거구만 난 주로 이렇게 뛰면서 음악 듣는 게 어우 너무 좋드만	나도 그거 좋아하는데 주로 뛰면서 음악 듣는거 좋아함	오 ㄹㅇ? 나돈데, 주로 뛰면서 음악 듣는 듯	나도 그거 좋아해! ☜(ﾟヮﾟ☜) 난 주로 뛰면서 음악 듣는걸 좋아행! ヾ(⌐■_■)ノ♪	헐 대박!! 나도 그거 완전 좋아해!! 주로 뛰면서 음악듣는 걸 좋아해 ㅎㅎ	저도 좋아하는 장르네요. 전 주로 런닝하며 음악 듣는 걸 좋아합니다.	나도..그거 좋아혀…난 보통 뛰면서…음악 듣는걸 좋아혀…	나도 환장하는디 뛰댕기믄서 음악들음 뒤집어지게 좋아부러	니더 좋아함 조깅하면서 노래들음	짐 또한 그를 선호하오. 주로 경보하며 음악 듣는 것을 선호하네.	나도 그거 좋아한다니깐! 난 주로 뛰면서 음악 드는걸 좋아한다니깐! 	소생도 그거 좋아하오! 소생은 주로 뛰면서 음악 듣는걸 좋아하오! 	나도 그거 좋아하는데.. 난 주로 뛰면서 음악 듣는 편인 것 같아 ㅠ	나도 그들을 좋아하는! 대부분의 경우 달리기와 함께 음악을 즐긴다.
최근에 컵케익을 너무 많이 먹어서 살이 찐 것 같은데, 저도 조금 뛰어야겠네요.	최근에 컵케익을 너무 많이 먹어서 살이 찐 것 같은데, 나도 조금 뛰어야겠다.	최근. 컵케익. 과다섭취. 체중증가. 안드로이드. 뛰기. 필요.	난 요즘 컵케익을 넘 많이 먹어서 그런가 살이 쪘더라고? 어우 그래서 좀 뛰어댕겨야 할 거 같어	최근에 컵케익 너무 먹어가지고 살 찐 것 같은데, 나도 좀 뛰어야겠다	최근에 컵케익 겁나 먹어서 확찐자 된 듯,, 나도 좀 뛰어봐야겠다	최근에 컵테익 너무 많이 먹어서…o(￣┰￣*)ゞ 살이 찐 것 같은데 (╬▔皿▔)╯ 나도 조금 뛰어야겠다 =┏ (゜ω゜)」	최근에 컵케익을 너무 많이 먹어서 살이 찐 것 같아ㅜㅜ 나도 좀 뛰어야겠어!!	최근 컵케이크를 많이 먹어서 살이 쪘습니다.. 저도 조금 뛰어야겠습니다.	요번에…컵키익인가 뭔가를 너무 많아 먹어가지고…살이 찐 거 같텨…나도 좀 뛰어야겠네…	최근에 컵케익을 넘 쳐먹어서 살이 뒤룩뒤룩 쪄버리느 거 같은디 나도 좀 뛰어야쓰것네	나도 컵케익 먹어서 살찜 ㅡㅡ 뛰어야겠네	근래 컵케익을 너무 많이 먹은 탓에 조금 후덕해졌으니, 짐 또한 경보에 정진해야겠소.	최근에…컵케익을 너무 많이 먹어서 살이 찐 것 같다니깐…나도 조금 뛰어야겠다니깐!	최근에 컵케익을 너무 많이 먹어서 살이 찐 것 같소…소생도 좀 뛰어야겠소…	요즘 컵케익 너무 많이 먹어서 살찐 것 같은데.. 나도 좀 뛰어야겠어 ㅠ	최근에 나는 컵케익을 많이 먹었고, 이로부터 체중이 증가했기 때문에 나도 뛰는 것이 좋습니다.
나중에 연락하시면 같이 뛰어요.	나중에 연락하면 같이 뛰자.	추후. 연락요망. 같이. 달리기.	어 그래 나중에 연락해 같이 뛰면 좋잖아~	나중에 연락하면 같이 뛰러 가자	나중에 연락 ㄱㄱ 같이 달려보자고~	나중에 연락하면 같이 뛰장!  =┏ (゜ω゜)」	나중에 연락하면 같이 뛰장!! ^0^	나중에 연락하세요. 같이 뜁시다.	나중에…연락하면…같이 뛰세..	난제 연락하믄 같이 염병하게 뛰어보자고	ㅋ 나중에 같이 뛰던가	추후 전갈을 보낼 테니, 같이 경보하는 것은 어떤가?	나중에 연락하면 같이 뛰자니깐!	나중에 연락하면 소생과 같이 뛰시오!	다음에 연락하면 같이 뛰자 ㅠ	다음에 연락하여 달리기를 주선합니다.
클래식 음악을 들으면서 친구랑 같이 뛰면 분명 재밌을 것 같네요.	클래식 음악을 들으면서 친구랑 같이 뛰면 재밌을 것 같다.	클래식 음악. 듣기. 그리고. 친구와. 뛰기. 재밌다.	클래식 음악 들으면서 같이 뛰면 딱 좋겠구만~ 	클래식 음악 들으면서 친구하고 같이 뛰면 재밌겠네 ㅋㅋㅋ	클래식 음악에 친구랑 같이 뛴다? ㄹㅇ 꿀잼 컨텐츠누 ㅋㅋ	클래식 음악 들으면서 친구랑 같이 뛰면       =┏ (゜ω゜)」 잼있을 거 같당! ＼(@^0^@)/	클래식 음악을 들으면서~ 친구랑 같이 뛰면 음~ 너무 재밌을 거 같아	클래식 음악을 들으며 친구와 함께 뛰면 확실히 재밌겠네요.	클래식 음악 들으면서 친구랑 같이 뛰면..재미있을 것 같어…	클래식 들음서 같이 뛰믄 뒤집어지게 웃기것네	클래식 들으면서 뛸건데	클래식 음악을 들으며 벗과 함께 경보하면 그 또한 흥이 나는 일이겠소.	클래식 음악 들으면서 친구랑 같이 뛰면 재미있을 것 같다니깐!	클래식 음악 들으면서 친구하고 같이 뛰면 재미있을 것 같소!	클래식 음악 들으면서 친구랑 뛰면 재밌긴 할 것 같아..	달리며 클래식 음악을 듣고 친구와 함께하는 것은 즐거운.
이 빵은 얼만가요?	이 빵은 얼마야?	이 빵. 가격. 얼마인가.	그래서 이 빵은 얼마야? 	이 빵 얼마임?	이 빵은 얼마임?	이 빵은 얼마야?( •̀ ω •́ )✧	이 빵은 얼마~?	이 빵은 얼마입니까?	이…빵은…얼만겨?...	이 쪼가린 얼마데?	빵 이거 얼마?	이 빵은 얼마나 하는가?	이빵은 얼마냐니깐?!	이 빵은 얼마인것이오?!	이 빵은 얼마야 혹시..?	이 빵은 얼마에 있습니까?
4달러입니다.	4달러.	4달러.	4달러~!	4딸라~	사딸러.	4딸라~o(*^＠^*)o	4달러.	4달러입니다.	4달라~	4달러.	4달런데 왜	4달러요.	4달러라니깐!	4달러이오!	4달러.. ㅠ	4달러.
																
안녕하세요, 어딜 그렇게 급히 나가시나요?	어딜 그렇게 급히 나가?	급하게. 이동. 목적지. 어디인가.	안녕히 잘 지냈는가? 어딜 그렇게 급히 가?	어딜 그리 급하게 나감?	어딜 그리 급하게 가누	어딜 그렇게 급히 가시나?~o(*^▽^*)┛	안뇽안뇽~ 어딜 그렇게 급하게 나가~?	안녕하십니까? 어딜 그렇게 급히 나가십니까?	어디를…그렇게..급히..나가는겨?..	염병 어딜 그리 급히 나가쌌냐?	급함? 어디가는데	어딜 그리 서둘러 가는가?	어디를 그렇게 급히 나가냐니깐!	어디를 그렇게 급히 나가는 것이오?	급하게 어디 가..?	어딘가로 당신은 급하게 가는가?
안녕하세요. 세탁소에 맡긴 옷을 가지러 가는건데, 그리 급하지는 않습니다.	세탁소에 맡긴 옷을 가지러 가는건데, 그리 급하지는 않아.	세탁소. 이동. 맡긴 옷. 수거. 급함 정도. 낮음.	별일 없지~ 세탁소에 거 맡긴 옷 가지러 가는데 급한 건 아녀	세탁소에 맡긴 옷 가지러 가는데, 딱히 급하지는 않음	세탁소에 맡긴 옷 데리러 가야하는데, 급한 건 아님 ㅋㅋ	세탁소에 맡긴 옷 가지러 가는건뎅 그리 급하진 않아 o(*￣▽￣*)o	안뇽~ 세탁소에 맡긴 옷을 가지러 가는 중~ 급하진 않앙	안녕하십니까. 세탁소에 맡긴 옷을 가지러 가고 있습니다. 그리 급하진 않습니다.	세탁소에…맡긴 옷들…가지러 가는데..그리 급하지는 않어…	세탁소 맡긴 옷 가지러 가는데 니미 옷이 상전이네 염병하게 급한 건 아녀	세탁소에 옷가지러가는데 별로 안급함 왜	세탁소에 맡긴 의복을 가지러 가네만, 그리 서두르고 있지는 않네.	세탁소에 맡긴 옷 가지러 가는데 그리 급하진 않다니깐!	세탁소에 맡긴 옷 가지러 가는건데 그리 급하지는 않소!	세탁소에 맡긴 옷 가지러 가는데.. 그리 급하지는 않은 것 같아 ㅠ	세탁소에 옷을 수거하러 갑니다. 아주 바쁘지는 않은.
저도 세탁소에 들러야 하는데, 어제 늦게까지 일을 하느라 가질 못했네요.	나도 세탁소에 들러야 하는데, 어제 늦게까지 일을 하느라 가질 못했어.	안드로이드. 세탁소. 들러야 한다. 그러나. 어제. 일함. 늦게까지. 따라서. 못감.	아이고 나도 세탁소 들러야 하는디, 어제도 늦게까지 일하느라 가질 못해 가질,,	나도 세탁소 들러야 하는데, 어제 야근하느라 못갔음…ㅠ	아 나도 세탁소 가야하는데, 어제 늦게까지 일 하느라 못 감	나도 세탁소에 들러야 하는데 φ(*￣0￣), 어제 늦게까지 일하느라 못갔엉…(T_T)	헐! 나도 세탁소 들러야 하는뎅! 어제 늦게까지 일하다가 가질 못했어ㅜ,,!!	저도 세탁소를 방문해야 합니다.어제 늦게까지 일을 하느라 가질 못하였네요.	나도 세탁소에 들러야 하는데…어제…늦게까지…일을 하느라..가질 못했다네…	니미 나도 세탁소 들려야 하는디 어제 일이 디지게 늦게 끝나부려서 가질 못했네	나도 가야되는데 어제 일하느라 못감	짐 또한 세탁소에 들려야 하지만, 전일 늦게까지 과업에 정진하느라 가질 못했네.	나도 세탁소에 들러야 하는데 어제 늦게까지 일 하느라 가질 못했다니깐!	소생도 세틱소에 들려야 하는데 어제 늦게까지 일을 하느라 가질 못했소…	나도 세탁소 들러야 하는데.. ㅠ 어제 늦게까지 일하느라 못갔어	나도 세탁소에 가야 하지만, 어제 늦게까지 일이 바빠 그러지 못했다.
